,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
PCDHGA10,-0.10890315,0.05326709,0.093569726,-0.33390656,0.018517634,0.081828244,0.0015040496,0.18576917,0.07526776,-0.23005532,-0.2222938,0.08978179,-0.01283383,-0.13061853,-0.2438068
RPL8,-0.040000834,0.08206455,0.009161951,0.030451132,-0.02144123,0.02232222,0.06023358,0.113722146,0.122956485,0.073969536,0.12515755,0.10310551,0.09252164,0.14285432,0.14308144
LINC02019,-0.2753604,-1.2551582,-0.7487152,-0.1705243,-0.46023634,-0.26316926,-0.9667126,-0.99752706,-0.28436068,0.085216515,-0.88891995,-0.7070797,-0.52891403,-1.1303875,-0.4250047
DDI2,0.16276857,-0.08591469,-0.04962375,-0.08288644,-0.030595947,-0.00025939578,-0.07910938,-0.21791343,-0.20619749,-0.24304387,-0.3011389,-0.23960303,-0.06929646,-0.31554008,-0.2674592
MLPH,0.056370538,0.041511595,0.041447002,0.09051664,0.0298187,0.010429764,0.02967598,-0.009983471,-0.06925869,0.037526112,0.05293138,-0.039892625,-0.020913305,0.074958295,0.029984012
TINF2,0.08885792,0.20272268,0.10495978,0.11529195,0.082742706,0.029039556,0.17669134,0.11571552,-0.010093702,0.021297123,0.1983769,0.07024071,0.07464804,0.23348807,0.12247805
CDKN2B,-0.087130204,-1.336723,-0.9137796,-0.23434322,-0.58811545,-0.30804947,-1.044098,-1.276367,-0.340636,-0.12680523,-1.1610752,-0.9232441,-0.4199254,-1.4747626,-0.5760108
EPB41L3,0.04196443,0.76432735,0.68933606,-0.11434152,0.32668263,0.36996195,0.39444205,0.75028193,0.048847526,-0.15898673,0.24612553,0.35710385,0.07369966,0.61592895,-0.054747734
MAN1C1,-0.017716302,0.6280821,0.59691924,-0.28493866,0.32055503,0.28733847,0.34485686,0.6576829,0.06068687,-0.2790294,0.09111464,0.38291615,0.024437495,0.3968929,-0.20524688
TMC8,2.6938438e-05,0.033499878,-0.18299308,0.35510907,-0.113338046,-0.061862208,0.12824278,0.02486612,0.20566057,0.3528533,0.442632,0.103525735,0.22731683,0.3860804,0.5550449
NLGN4X,0.044654295,-0.2049413,-0.08342238,-0.22507964,-0.030999554,-0.031212222,-0.16949293,-0.22960706,-0.1746609,-0.2784308,-0.41330153,-0.20684558,-0.14458461,-0.4628878,-0.38272986
CBLN2,0.32257575,3.0830784,2.2322328,0.2677073,1.1519359,1.0741711,2.0049975,2.8177657,0.58031255,-0.05906483,2.0043576,1.7099596,0.88312715,3.1072476,0.90715677
NUPR1,-0.056765545,-0.27218205,-0.2841651,0.14769761,-0.1694857,-0.12766454,-0.16665427,-0.24090107,0.07389047,0.21399713,0.04374336,-0.09641435,0.029767327,-0.10041132,0.20810613
S100A6,-0.002253306,0.16558202,-0.02802126,0.24308941,-0.019159712,-0.015868487,0.20071189,0.16452453,0.19862235,0.24622542,0.4162516,0.1827999,0.21082775,0.4061819,0.4352768
AL390334.1,0.10454536,0.9248208,0.19421235,0.8835198,0.17231598,0.025937064,0.89166737,0.755278,0.6067856,0.800246,1.6644064,0.78332907,0.75997984,1.7397611,1.5044132
AC087645.1,-0.018779226,0.12260951,0.44702914,-0.48321235,0.20697545,0.2518615,-0.16533637,0.12450654,-0.35902992,-0.46440265,-0.61396694,-0.19450776,-0.3679594,-0.31051895,-0.8196523
TRPM7,0.02969327,0.036514495,0.17729554,-0.21812358,0.06501333,0.11382802,-0.08702273,0.043300334,-0.15853114,-0.25335854,-0.3140682,-0.09469519,-0.15505232,-0.22245501,-0.36998907
IL32,-0.07049506,-0.33577916,-0.45969233,0.2707069,-0.2561083,-0.15576787,-0.15244032,-0.3093166,0.18856804,0.3494713,0.19577828,-0.040129136,0.13994855,0.037423532,0.46235532
RRM2,-0.062371254,0.16882746,0.1899518,-0.0421009,0.26256818,-0.13340276,0.22482127,0.19962277,0.02475424,0.010114564,0.26716012,0.28165913,-0.016755078,0.16911195,-0.0021151009
GPSM1,0.013242239,0.026486654,-0.056714404,-0.061444018,0.04256648,-0.10902803,0.12080591,0.031525638,0.09710012,-0.08438661,0.06722465,0.1608987,0.0896243,-0.063839994,0.028187128
APLP1,0.084061764,0.2682932,0.12032282,0.11488181,0.11479,0.006799845,0.26834288,0.18288238,0.054930005,0.029853681,0.29061857,0.17182924,0.13601635,0.31732363,0.18493676
PER2,-0.1416694,-0.28112316,0.050718233,-0.4786973,-0.049724925,0.11773275,-0.375519,-0.10574557,-0.17735133,-0.34480986,-0.70514816,-0.22096902,-0.3282924,-0.60412735,-0.6562522
CCND1,0.025788404,-0.17385368,-0.21897143,0.07266172,-0.10643311,-0.11253058,-0.052784644,-0.18643232,0.022673365,0.04370383,-0.012554627,-0.07472168,0.038405515,-0.14063086,0.09172833
AC104187.1,0.0031285945,-0.15207547,-0.34522927,0.384928,-0.29034764,-0.045864485,-0.10213031,-0.18321666,0.19461145,0.40104774,0.27840963,-0.08804647,0.2318994,0.23734894,0.5698973
MAP3K1,-0.06005775,-0.25705963,-0.03166446,-0.20635256,-0.029333804,0.0010924549,-0.25440553,-0.18307444,-0.1719187,-0.14865305,-0.3998705,-0.20072591,-0.23459055,-0.40581444,-0.37310895
SLC7A1,0.16237627,0.3282706,0.17010583,0.09371248,0.15138166,0.008636068,0.29160908,0.1676906,-0.009961604,-0.0665678,0.24884106,0.13207981,0.14249739,0.26146317,0.09740522
IGHA1,-0.3141416,-1.3898246,-0.92225486,-0.56821203,-0.4809024,-0.4092855,-0.9860626,-1.0724581,-0.116760336,-0.2596555,-1.1748224,-0.53914976,-0.43391353,-1.6402656,-0.7035757
TACC2,0.011955833,-0.83676964,-0.7185035,-0.019649569,-0.32539955,-0.38376763,-0.4708004,-0.8664999,-0.15000312,-0.028243331,-0.4776307,-0.4624747,-0.13372672,-0.87903476,-0.16939914
AC006970.2,0.086442195,0.6600203,0.11526869,0.45348412,0.20426148,-0.09999761,0.7238492,0.5446222,0.4483461,0.3766284,1.1173692,0.6521338,0.58211714,1.0535493,0.9055508
