,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
GPRIN3,-0.007921189,0.8224417,0.8194839,-0.4403497,0.32147458,0.5194968,0.3447481,0.9076137,0.044156596,-0.45982596,-0.07417898,0.3912678,0.0008018356,0.43743926,-0.37148002
UGT3A2,-0.120588295,0.80370224,0.5801246,-0.22694607,0.23378623,0.38054407,0.48300254,0.9046446,0.3518768,-0.12752414,0.33983824,0.5792278,0.2492987,0.7584541,0.12659918
PGGHG,0.11650023,0.16514188,-0.12208667,0.4311789,0.015593887,-0.15090905,0.273378,0.013895732,0.13752761,0.3172246,0.58685154,0.14088729,0.27466828,0.45909595,0.5771334
SH3BGR,-0.018408652,0.49937177,0.24673145,0.1712957,0.13848081,0.10738329,0.40954483,0.53224486,0.2968459,0.19235802,0.5926569,0.42615816,0.29591337,0.68921614,0.45872876
TRPV1,0.27806616,0.31611687,0.03230197,0.38654724,0.037541624,-0.001150805,0.3077932,0.051050536,0.000120563316,0.12403363,0.43710473,0.04562235,0.26044723,0.44735292,0.40859464
CPNE3,0.04879927,-0.040077675,0.0075407457,-0.078824416,-0.009036449,0.022909887,-0.052508622,-0.06528549,-0.09720147,-0.13009056,-0.1753405,-0.10182219,-0.05793657,-0.15932006,-0.16768824
ALB,-1.2336375,-4.1849318,-2.838526,-1.177608,-1.7301126,-1.1423808,-3.0834773,-3.0899365,-0.15022261,0.0087835705,-3.0678535,-1.7990478,-1.2412931,-4.254914,-1.4197915
RNF217,0.054091066,-0.36591932,-0.5235636,0.06875967,-0.22625323,-0.2687068,-0.067865215,-0.41499737,0.108398646,0.009432188,-0.039719604,-0.10421252,0.16827632,-0.33757597,0.17435773
TUBBP2,0.059191167,0.45426846,-0.26262838,0.8250159,-0.1527361,-0.07724259,0.6011293,0.4113634,0.67306966,0.76054364,1.3179965,0.5420083,0.7643183,1.2021729,1.475341
RAB18,0.014280908,0.22700496,0.1900913,0.101284884,0.1257176,0.061214477,0.16558659,0.22011694,0.023142159,0.08982701,0.24538635,0.1440808,0.034200743,0.30962476,0.12935095
AP001269.4,-0.021407437,-0.012351026,-0.22252373,0.2028694,-0.28689042,0.093610734,-0.071283,0.0009922117,0.24637605,0.23434006,0.14171381,-0.031518288,0.2382482,0.20603728,0.43881258
ACY1,0.045159224,-0.36846566,-0.091997445,-0.21303779,-0.19097209,0.13801287,-0.5474259,-0.4366514,-0.3575431,-0.24568295,-0.75263995,-0.5490187,-0.32283157,-0.6056497,-0.5518868
CKS1BP1,-0.046402138,0.27292028,-0.30788878,0.8006925,-0.058280285,-0.2736096,0.51504284,0.21713582,0.56023943,0.8595595,1.3327757,0.49358207,0.62148815,1.1413012,1.3731929
IRX2,-0.15740088,-0.69703645,-0.30544165,-0.42198163,-0.18261015,-0.11446521,-0.5805552,-0.5507023,-0.25698543,-0.27160245,-0.85209256,-0.4351941,-0.41196212,-0.9640002,-0.676721
KLF7,-0.014090811,-0.10966551,0.14525561,-0.45489067,0.034174036,0.117391236,-0.26170927,-0.07660882,-0.21444951,-0.42334643,-0.64501643,-0.18495709,-0.2615557,-0.54410166,-0.66743386
KRT19,-0.025175184,-0.0126132015,-0.079946,0.13815399,-0.06656167,-0.021388805,0.019238811,0.0077864313,0.09114623,0.16397211,0.15448609,0.026951825,0.0747086,0.13649276,0.21969074
AC103702.2,0.05060479,1.1824306,0.50961643,0.5358865,0.25909206,0.2630084,0.94075984,1.1425261,0.66215926,0.4834648,1.4191072,0.9208943,0.71949095,1.633944,1.181555
PKIB,-0.10372545,0.0048782937,-0.0128132785,0.08943394,0.060436327,-0.084173486,0.089596555,0.117171034,0.12836547,0.189091,0.27360192,0.1879215,0.039125208,0.1755389,0.21819587
SLC22A15,0.32788828,-0.5314411,-0.671738,0.21195725,-0.38726252,-0.24728864,-0.29344654,-0.8415602,-0.18386386,-0.10437459,-0.34156322,-0.52807295,0.10260647,-0.61245376,0.050515763
CYP2B7P,0.13252898,0.32812393,0.10953652,0.30243766,0.08255445,0.029260444,0.318307,0.21287066,0.0848665,0.17406838,0.47257948,0.17528221,0.20823233,0.50531197,0.3999883
ZNF724,0.4255098,2.7369528,1.9558206,0.3256743,1.1185651,0.8153631,1.8765686,2.3898516,0.4083606,-0.100413665,1.8361568,1.4981287,0.7817863,2.6799505,0.7659146
SGO2,0.16166241,0.59100825,0.35970604,0.24595562,0.27075282,0.06382667,0.47333154,0.38522637,0.0281253,0.10144524,0.5846218,0.26586172,0.22406064,0.714712,0.3128227
IGSF8,0.1442818,0.25354415,0.011252782,0.22676063,0.11470321,-0.110478505,0.35389426,0.1203751,0.11326373,0.089372195,0.45353082,0.23505992,0.24242689,0.34263957,0.34350857
AL133153.2,0.18668012,1.2211652,0.7040514,0.37605187,0.27541244,0.41502973,0.7629417,1.0150075,0.343443,0.20327394,0.9892955,0.5894039,0.54337865,1.4162344,0.7311378
AC009686.2,-0.74384487,-0.9283452,-0.04656853,-0.84781003,-0.430177,0.39607015,-1.3198113,-0.20938985,-0.07727475,-0.09473838,-1.4345554,-0.5031394,-0.77413166,-1.056306,-0.98139685
PSMA3,-0.11170016,0.013720926,-0.10800133,0.15339562,-0.089299865,-0.027537903,0.06564177,0.11559021,0.24429087,0.26622692,0.30269215,0.16270126,0.16382562,0.27496827,0.3876841
COX7B2,-0.17940916,-0.27378216,-0.25098634,0.023875885,-0.09802423,-0.16792186,-0.14779243,-0.1434494,0.14468049,0.20580979,0.07019947,0.03258917,0.01658958,-0.09284111,0.16318357
AC022390.1,-0.5574548,-0.13264881,0.6001967,-0.98010343,0.296489,0.2680511,-0.47411382,0.45016378,-0.13579269,-0.45467627,-0.86533904,0.15163416,-0.6857489,-0.60948265,-1.1511536
RPS6KA5,-0.07827842,-0.71624297,-0.29618394,-0.4362891,-0.14137153,-0.14644697,-0.5694282,-0.62620324,-0.3659505,-0.36841935,-0.9214496,-0.50314146,-0.45967972,-1.0711793,-0.7834872
CKAP2,-0.028794559,0.15492573,0.20083529,-0.10354318,0.13861498,0.045918517,0.069734156,0.14808814,-0.036945976,-0.06124845,0.022792628,0.0843254,-0.038537174,0.103557214,-0.1222095
LAD1,0.06422522,-0.107513085,-0.19838455,0.23563704,-0.02611806,-0.17254588,0.07871171,-0.17346418,0.011334744,0.16521622,0.2252865,-0.0034547455,0.07287079,0.06692532,0.25448895
PLXDC2,0.11408971,-0.008829245,0.034525074,-0.09048626,-0.062321886,0.115873575,-0.13709302,-0.11021726,-0.137874,-0.20699783,-0.30226716,-0.18593696,-0.06339973,-0.20768279,-0.21348561
TTC39B,-0.16300891,-0.4819765,-0.0052234107,-0.5268396,-0.06874773,0.06796196,-0.5574779,-0.3031918,-0.30524445,-0.36583552,-0.91069627,-0.37505013,-0.48757738,-0.8549632,-0.8361091
PPM1L,0.04981264,0.27812782,0.3455751,-0.23866269,0.15966707,0.19787273,0.090254925,0.2677661,-0.10146311,-0.2910832,-0.1767596,0.055254176,-0.07271816,0.01184988,-0.32589665
TMEM269,0.2862848,0.19637364,0.1409402,0.09533311,-0.049788788,0.23122072,-0.06056877,-0.089191474,-0.23866376,-0.16553049,-0.19741605,-0.31025743,0.019198688,0.046260905,-0.12487051
ARVCF,-0.07074655,-0.065459356,0.07498785,-0.20903997,0.09152022,-0.02579679,-0.060418263,0.030206617,-0.056544237,-0.15069996,-0.18099889,0.052299127,-0.14346401,-0.2219252,-0.2645926
AL512363.1,-0.15420571,-0.29473546,-0.120090075,-0.20943667,-0.20612973,0.12354537,-0.41963345,-0.13105561,-0.0066456147,-0.055580378,-0.44985023,-0.19165285,-0.1633515,-0.36722094,-0.23609439
SNHG3,-0.0333157,0.14133836,0.12388624,0.023916235,0.001086936,0.12623042,0.020667603,0.17628928,0.058924224,0.06552651,0.07643587,0.057140034,0.031360026,0.20096695,0.0790716
PCDHB14,0.027249476,0.27012548,0.15316153,-0.020650959,0.076032154,0.09276099,0.20283155,0.2806907,0.11872052,-0.04744819,0.15254073,0.19067973,0.13155979,0.23066431,0.09081118
TRAF5,-0.90534943,-0.36654004,1.1557933,-2.0040429,0.35319975,0.80871475,-1.2072474,0.54337454,-0.567869,-1.1185818,-2.282598,-0.23236895,-1.4690928,-1.4452355,-2.5978649
LINC01980,0.025065156,0.3523584,0.018028177,0.33772177,-0.12627394,0.15823218,0.2509909,0.33602142,0.32101652,0.31785363,0.5302927,0.2157348,0.3768563,0.7188649,0.6652192
GJA3,-0.26808947,-0.5720478,-0.10222694,-0.68396246,-0.14255667,0.06480148,-0.5964961,-0.2856824,-0.20888767,-0.43299696,-1.0367802,-0.347322,-0.46349278,-0.94638956,-0.89436835
LINC00504,0.24890725,-0.38798314,-0.9240544,0.7498398,-0.59414846,-0.24347444,-0.07570839,-0.64289564,0.28129518,0.51738554,0.42703056,-0.26909056,0.53135115,0.12957363,1.0263771
FLNA,0.1638329,0.120335706,-0.097643256,0.34964576,0.0329724,-0.13940983,0.23787405,-0.054394655,0.04014022,0.19426943,0.42379633,0.07301751,0.19365142,0.29279354,0.3942994
MMP9,-0.055266887,0.32235926,-0.22256091,0.6497867,-0.07121532,-0.17782627,0.5143283,0.357938,0.6048013,0.70711404,1.1862293,0.5460715,0.6144899,1.0196675,1.2489616
CHDH,0.17126177,0.60653704,0.45934868,0.08154004,0.3635433,0.093360834,0.49143827,0.45328125,-0.03353005,-0.092484444,0.42110658,0.32345465,0.10676792,0.5294577,0.07478995
C21orf58,0.25953722,0.6661299,0.432435,0.19199961,0.36943844,0.04145294,0.5790348,0.41850063,-0.038313106,-0.06533144,0.5477337,0.3194316,0.20444924,0.61687917,0.18515053
KRT5,-0.59956765,-1.892248,-1.0296218,-0.72001994,-0.9884204,-0.021823961,-1.8703195,-1.3567106,-0.25989735,-0.1181381,-1.9919739,-1.1898967,-0.8094124,-2.0110035,-1.0103699
AP002884.1,-0.24653162,0.8948922,0.6760628,0.14578967,0.18155456,0.48804864,0.4449726,1.1463053,0.50218874,0.36475986,0.7588116,0.7036331,0.27283058,1.2744813,0.6152955
NDUFB9,-0.052783363,0.1206191,-0.0025855948,0.15794922,-0.035905823,0.024171079,0.109283105,0.16461354,0.18008079,0.21211132,0.29037273,0.14237662,0.14523387,0.3174074,0.32685938
FCHO1,0.06852243,0.13063522,-0.29903367,0.37838387,-0.10388501,-0.1873677,0.36311397,0.068596475,0.36880603,0.29627085,0.6476496,0.2894313,0.45235106,0.43659127,0.7420376
ZDHHC11,0.08121028,0.041013084,0.04866744,0.010314079,0.062283374,-0.029401544,0.02328356,-0.028637595,-0.08418998,-0.059904173,-0.009355052,-0.023605213,-0.019470276,-0.04279362,-0.068916954
ACAP2,0.09514991,0.07805314,0.032990508,0.032956455,0.058069933,-0.02321688,0.103669375,0.0046231295,-0.052861817,-0.062331073,0.045726623,0.00070291024,0.030698407,0.018501015,-0.010801423
PINK1,0.05025315,-0.107614465,-0.32965848,0.28734732,-0.11773586,-0.19206455,0.11456421,-0.16423245,0.16209726,0.23716506,0.33645594,0.051956303,0.22141257,0.13970606,0.45304927
AC073534.2,0.02527921,1.2902211,0.528439,0.73686665,0.13538785,0.39401782,0.85696083,1.1877964,0.76134694,0.75843704,1.6172729,0.8856449,0.86292285,2.0409904,1.49405
CCDC69,0.107197255,-1.142327,-1.2756981,0.19944645,-0.48610443,-0.77621,-0.37667814,-1.2544088,0.021467062,0.08329526,-0.23753281,-0.40958002,0.13241655,-1.0436586,0.2186684
KRT18,-0.060416944,-0.082619086,-0.16835052,0.09553822,-0.10886243,-0.07142339,-0.0039009706,-0.029301563,0.15560871,0.15837453,0.1368312,0.052739613,0.11133572,0.059076507,0.23717481
TOPORS,0.04826058,-0.108714014,0.0015384087,-0.11552794,0.06545407,-0.06580131,-0.05137047,-0.13969065,-0.16764428,-0.16935152,-0.20911784,-0.105386496,-0.13881445,-0.2732226,-0.26636168
KLHDC8B,0.0033979737,0.27381822,-0.07030045,0.24583203,0.06898308,-0.13337758,0.42004716,0.26327953,0.33409113,0.23587678,0.6491303,0.40842074,0.3616628,0.5145143,0.5737298
AP002364.1,0.17955247,0.3067209,0.11662763,0.370589,0.09605105,0.024674503,0.24337967,0.1181849,-0.010748611,0.22468364,0.48805478,0.07555492,0.19422777,0.549788,0.4016004
FBXO5,0.024338046,0.54946053,0.45913476,-0.057458233,0.48454502,-0.09772225,0.54938203,0.5035664,0.050231233,-0.10061728,0.5110505,0.53359026,0.08480376,0.45406058,0.021616297
ANXA6,0.095594406,0.6105906,0.36114752,0.1970647,0.22600614,0.13250019,0.4903352,0.5244987,0.16077,0.10490144,0.57733464,0.38425758,0.25008786,0.7249215,0.36270094
RAB11FIP3,0.004872952,0.06902701,0.06837407,0.015829587,0.038377374,0.028285459,0.030047968,0.07035789,-0.002871405,0.010585625,0.04489375,0.03976163,-0.0089371195,0.06610541,0.012375945
PEAR1,-0.22214365,-1.5491253,-1.1947916,-0.07869504,-0.7252111,-0.40485626,-1.098194,-1.333824,-0.13879144,0.14662664,-0.9465892,-0.8117658,-0.35381606,-1.4097209,-0.22515559
WWTR1-AS1,-0.13366398,0.61620045,0.8429988,-0.24526611,0.016141266,0.8669538,-0.26799852,0.71333545,-0.0912384,-0.071090244,-0.36676192,-0.114522375,-0.2057858,0.5440639,-0.3466588
MSLN,0.05984217,0.5446859,0.5112163,0.07005611,0.10350329,0.4155513,0.09785872,0.4546421,-0.031158695,0.037198536,0.14910632,0.06722037,0.045766447,0.610647,0.06790188
SLC45A4,-0.19356629,-0.11166365,0.12598638,-0.31410468,-0.022856489,0.15824796,-0.26618174,0.09175211,-0.01835179,-0.117040664,-0.38016644,-0.033782016,-0.21740219,-0.21690996,-0.34205678
HESX1,0.17305899,0.43766427,0.06274593,0.08343778,0.16867183,-0.10660329,0.5248663,0.3003278,0.23275225,-0.09690726,0.4716969,0.40394723,0.37186152,0.32023177,0.30594775
ATP10A,-0.25255883,-0.18083225,0.19950137,-0.558395,0.08539398,0.106412254,-0.309044,0.0655411,-0.1253738,-0.31960174,-0.61348045,-0.040232353,-0.38225907,-0.5110622,-0.69095194
PDP1,0.027594846,-0.41456935,-0.45729718,0.122768834,-0.23244038,-0.18835826,-0.16672833,-0.4189278,0.0046015168,0.09080086,-0.08877586,-0.19905496,0.027519533,-0.29237336,0.1472428
DAAM1,0.07991736,0.20007855,0.20645963,-0.07685969,0.10603034,0.115006104,0.10273268,0.14867543,-0.08259581,-0.154288,-0.05186212,0.015159525,-0.017768273,0.065768585,-0.14834017
TRIM52,0.061371297,0.05445029,0.22980727,-0.27847362,0.07025491,0.18172136,-0.13452953,0.022910587,-0.22918995,-0.33302516,-0.436542,-0.16389498,-0.19945437,-0.2607736,-0.49413908
NOTCH3,0.18485838,0.5577635,0.28178546,0.271804,0.16760634,0.118749596,0.44657528,0.39658234,0.09908448,0.09290614,0.5310992,0.26357296,0.2627209,0.6503127,0.37726396
ARHGAP27P1-BPTFP1-KPNA2P3,-0.14231119,-0.1148418,0.24860893,-0.5754391,0.07078172,0.19825463,-0.33486018,0.035493914,-0.21859336,-0.43010253,-0.7441961,-0.16391867,-0.37738943,-0.54002017,-0.7994688
AC051619.5,-0.3114613,0.1596732,-0.41631103,0.36644393,-0.28858206,-0.078363225,0.40224275,0.5171085,0.9572455,0.6289998,0.98190284,0.7356896,0.67219496,0.80067664,1.2849889
ADAMTS8,-1.0209271,-3.221851,-1.2119292,-2.2111535,-0.82501614,-0.36371577,-2.9033267,-2.2472847,-1.0277032,-1.2346123,-4.0747495,-1.8243513,-2.029146,-4.481005,-3.274165
CBR3,-0.12753697,0.54909265,0.28370225,0.20493999,0.13160305,0.11618545,0.43090612,0.66206145,0.41312447,0.33425492,0.7487697,0.55255574,0.33343405,0.9007853,0.614689
KITLG,0.24345554,1.4635212,0.7968547,0.4694401,0.5365825,0.24277513,1.2239095,1.2578882,0.44066992,0.22573707,1.4515322,0.9686082,0.6725518,1.6938176,0.9242465
AC129926.1,-0.10596992,0.6375213,0.45319843,0.029534342,0.22536351,0.2148481,0.42385888,0.75556237,0.33479854,0.13592523,0.5604863,0.55559283,0.23085244,0.7456057,0.34336025
PADI3,0.07523073,-0.41301727,-0.48918468,0.21902071,-0.2390479,-0.23343882,-0.16778757,-0.51599663,-0.039833006,0.15664238,-0.030894654,-0.27645245,0.05771135,-0.24408904,0.19780985
ZNF300,0.09399355,0.18394513,0.13925111,0.026121365,0.08671717,0.06577146,0.12381306,0.109006174,-0.05077134,-0.059682593,0.07268988,0.030839862,0.03614877,0.14236663,-0.009809347
EPS8L1,0.08265155,-0.13110888,-0.3488209,0.3080857,-0.14007169,-0.20603906,0.09378138,-0.21650252,0.1297406,0.2253418,0.30349144,0.0032996384,0.21306562,0.085192755,0.43800312
CHN2,-0.83652794,-3.3936048,-1.5917553,-1.7795395,-1.0504783,-0.4867318,-2.8986444,-2.553158,-0.9585614,-0.9780061,-3.8024914,-1.9416238,-1.8011374,-4.3572035,-2.7668147
ZNF844,0.20487429,0.20926695,0.03937209,0.14848565,0.025539003,0.029029727,0.20150751,0.028892487,-0.04002554,-0.051282007,0.15252225,-0.019156655,0.1591925,0.18901598,0.12968475
PARD6B,0.09816199,0.10631712,0.02785831,0.08518414,0.032378938,-0.003079745,0.117852524,0.026317917,-0.02109762,-0.009726367,0.10905343,0.010027355,0.069633506,0.10475937,0.078262515
AC027682.4,-0.34384567,-1.8211703,-1.2479849,-0.4045177,-0.74326855,-0.5091419,-1.330745,-1.51133,-0.25833324,-0.06274976,-1.384992,-0.9599655,-0.56412774,-1.904827,-0.6683991
GAGE1,-0.059906166,0.25194335,-0.024571389,0.13669989,-0.063299306,0.043326445,0.25398248,0.3012469,0.35402465,0.19027163,0.4243211,0.30377194,0.32336932,0.46845996,0.48224884
PCDHGB7,0.4256309,2.4277875,1.1855372,1.0173547,0.81847316,0.3450562,2.059632,2.0003455,0.82096946,0.59851545,2.6779065,1.6178812,1.2722175,3.0687776,1.8845408
PDK4,-0.8978758,-1.8923649,-0.25655094,-1.8747399,-0.39914706,0.16000797,-2.0522847,-1.0141925,-0.7328278,-1.0019838,-3.0313644,-1.1209708,-1.6102276,-2.869306,-2.6395612
HIST1H4K,-0.2547527,1.1420047,0.45985338,0.5334331,0.06611465,0.4050547,0.8196518,1.3981855,0.99450344,0.77028054,1.5114607,1.0729418,0.7866089,1.8927647,1.4619001
CDYL2,-0.40758514,-0.42811617,0.34653965,-1.1079067,0.030717874,0.3226535,-0.74546313,0.007548433,-0.3447089,-0.717816,-1.4323906,-0.3146627,-0.7671349,-1.1199328,-1.4520831
KCNN4,-0.35453355,-1.9334996,-1.6259192,-0.17668408,-0.8911824,-0.7033997,-1.1647525,-1.576207,0.051969983,0.15109774,-1.0290575,-0.75035423,-0.27971387,-1.7777733,-0.16080801
AC125603.4,-0.26361632,0.30911657,0.23451245,-0.08421463,0.116176866,0.18871191,0.25177616,0.63628334,0.34647068,0.13902311,0.36677095,0.4997785,0.0873233,0.5058412,0.27820075
SHANK2,-0.026627835,0.8188304,0.8821803,-0.3315421,0.4672053,0.4089468,0.4008495,0.89391893,0.0011840017,-0.30423123,0.123320706,0.45362407,-0.05171864,0.53629524,-0.31837597
C9orf3,-0.1227883,-0.026457092,0.1354989,-0.3195891,0.08230188,0.043828465,-0.118208714,0.09566137,-0.009911836,-0.19885032,-0.26251838,0.08135544,-0.13988537,-0.25184402,-0.34419677
AC069061.2,-0.11553667,0.6277293,0.830748,-0.41271752,0.4005121,0.44265133,0.14393485,0.7640094,-0.07050219,-0.29687506,-0.089727566,0.32639584,-0.20381418,0.35579216,-0.46304727
AL118506.1,0.17105794,0.37502682,-0.012748661,0.516783,0.044564005,-0.06390248,0.42967764,0.20640732,0.22877517,0.3644511,0.77736956,0.27328807,0.3981759,0.7133706,0.7390966
COL1A1,0.0711637,0.20780474,0.13991232,-0.028173704,0.05213062,0.10294928,0.08899821,0.13442828,0.0035136081,-0.09217522,0.026751531,0.05031553,0.06324904,0.1232621,-0.015664248
AL121929.2,0.01979374,-0.8110623,-0.3716199,-0.5741657,-0.22456199,-0.13560149,-0.7055752,-0.8019127,-0.4888289,-0.6062021,-1.2693361,-0.69262844,-0.50298285,-1.3868229,-1.0533935
NPIPA1,0.10131393,-0.0049709403,-0.0089443205,-0.029180083,0.009736162,-0.022448482,-0.013243396,-0.09901791,-0.09834258,-0.12833385,-0.112634994,-0.09028851,-0.013018897,-0.14206679,-0.12064839
NEBL,-0.13217854,-0.9007039,-0.5638614,-0.3216373,-0.3045088,-0.2560842,-0.6449462,-0.76040643,-0.20378251,-0.19725414,-0.8210506,-0.49553058,-0.33764184,-1.112878,-0.52961594
NUMBL,0.31203642,0.42727134,-0.01084636,0.58522564,0.07053339,-0.06789679,0.50779665,0.12816569,0.11391627,0.28178734,0.7746966,0.18124622,0.4113963,0.7165096,0.72134286
KTN1,0.066255026,0.104432374,0.06507281,0.031102067,0.04267379,0.026501229,0.08127415,0.04561003,-0.030286325,-0.03021125,0.043039672,0.005461917,0.029210126,0.07791494,0.0046308306
KANTR,0.08100066,-0.16991505,-0.040622424,-0.08390716,-0.05422533,0.030664176,-0.19506612,-0.22174306,-0.21247451,-0.15372516,-0.32299015,-0.2707199,-0.1331962,-0.29690292,-0.27138618
AC019155.3,0.20341696,1.4527434,0.71307623,0.5928179,0.30921093,0.4386322,1.0372566,1.2440081,0.5609342,0.40451643,1.444938,0.8586953,0.7775972,1.8840108,1.1670988
N4BP2L1,-0.27252087,-1.5110213,-0.839368,-0.59749085,-0.4278043,-0.40479165,-1.1313425,-1.2539647,-0.43941012,-0.34601215,-1.4425695,-0.8564046,-0.7086435,-1.8556639,-1.0216078
CIART,-0.28488135,-0.2544157,0.075325206,-0.4150522,-0.11375213,0.2070302,-0.44859198,0.0018323988,-0.039538804,-0.11581426,-0.57634634,-0.16763349,-0.2872216,-0.34588653,-0.46072367
KHNYN,0.15111351,-0.047089815,-0.20218243,0.21046577,-0.057973273,-0.1415318,0.0868896,-0.19365297,-0.0077221305,0.06411756,0.15312652,-0.06908554,0.13851358,0.013968955,0.21107574
FBXO21,0.065336004,0.050955065,0.11800332,-0.18584569,0.09657489,0.02665462,0.018074717,0.0059357383,-0.12752461,-0.25084653,-0.20548542,-0.03243793,-0.08168588,-0.18695997,-0.29824638
AC008669.1,-0.2771757,-0.635425,-0.1799707,-0.647758,-0.09063279,-0.09215694,-0.5488689,-0.33072245,-0.176193,-0.39347452,-0.9258816,-0.2657998,-0.44643325,-1.0253103,-0.84131485
SLC3A2,0.060608093,0.17196691,-0.03025085,0.30797192,0.01970744,-0.06333132,0.22196868,0.09779193,0.13918887,0.25478283,0.46373916,0.15493391,0.2074761,0.4037836,0.44394076
RPL7P41,-0.18760489,-0.259383,-0.3316288,0.15757237,-0.18600114,-0.13565138,-0.1221839,-0.100058876,0.27203417,0.3438494,0.21656272,0.11166858,0.114596166,0.075407974,0.4137378
KRT15,-0.10171048,-0.6074077,-0.5006903,-0.083326876,-0.27743682,-0.21471725,-0.3728082,-0.4953328,0.0060620094,0.01512368,-0.34509593,-0.2425718,-0.08757605,-0.58650637,-0.07645265
AP000525.9,0.14591722,-0.21953298,-0.26100346,0.039938193,-0.115079775,-0.11248785,-0.08979812,-0.3540318,-0.115111195,-0.09945355,-0.18106945,-0.23724058,0.012122305,-0.31049326,-0.059422046
NAT2,-0.22154514,-1.5207869,-0.8662429,-0.6443546,-0.4946272,-0.35147023,-1.1977109,-1.2842662,-0.42696974,-0.42975402,-1.5566018,-0.888559,-0.66141033,-1.9527105,-1.0725566
DCP2,0.054596663,0.11144022,0.104301356,0.045600396,0.08673409,0.021312846,0.09681443,0.06686031,-0.06202984,-0.011546019,0.08503519,0.017286785,-0.008995868,0.11365662,0.003235633
PRR19,0.17531955,-0.4139375,-0.7809027,0.6491135,-0.31727615,-0.47284448,0.048156843,-0.58979905,0.1757574,0.4740912,0.51276225,-0.10348822,0.34884912,0.02360614,0.81814474
AR,0.12722732,1.1385792,0.97501767,-0.047756195,0.5564275,0.4279148,0.72238916,1.0664569,0.06269264,-0.1707403,0.56999695,0.6027046,0.15988427,0.9972159,0.037478
AC009283.1,0.2010889,0.41979122,0.15894759,0.14655976,0.15462643,0.002585368,0.38429615,0.2160983,0.06182584,-0.036868326,0.37646347,0.20677942,0.25782853,0.38613054,0.22341177
CRABP1,-0.24648963,0.44837472,0.47766045,-0.18504418,0.14137578,0.32737,0.09271083,0.67423636,0.25733376,0.06816925,0.17101924,0.38589633,0.040324964,0.49118096,0.042195637
AL391121.1,-0.013686635,-0.30971655,-0.21162567,0.09968444,-0.21298069,0.016819308,-0.3135752,-0.2614948,-0.088683285,0.098070346,-0.21621946,-0.28416112,-0.11641205,-0.23219654,0.0128176715
SHISA8,-0.21313672,0.20549221,0.0709546,-0.012008458,0.32800922,-0.32773328,0.4658458,0.41901514,0.3681208,0.17440467,0.69003606,0.7115107,0.18814409,0.36417106,0.35188416
OLFML2B,-1.2447886,-2.1572335,-0.6641894,-1.5461379,-0.46731612,-0.17427918,-1.9630059,-0.98726124,-0.2627879,-0.3517873,-2.2953513,-0.6826534,-1.4107667,-2.4676988,-1.8304052
CDCA3,-0.066758215,0.50902414,0.3555595,0.17841268,0.28754768,0.02414565,0.42026415,0.50384563,0.18384223,0.2579099,0.68071425,0.44234252,0.18147822,0.7741682,0.38582537
EHMT1,0.10428319,0.31387457,0.20675305,0.101438396,0.10461709,0.10875461,0.20619935,0.21889034,0.0014452641,0.0057977196,0.2041988,0.09793899,0.09192635,0.32208276,0.11285414
CMTM7,-0.3255561,-0.6832542,-0.22762656,-0.59588933,-0.17341797,-0.059896607,-0.6219508,-0.3691918,-0.13497867,-0.2977783,-0.9095626,-0.2841889,-0.44986597,-0.978071,-0.7458852
ZFP62,-0.04632135,0.08796109,0.13690779,-0.2315624,0.08939227,0.055136792,0.036821857,0.14911239,0.005029326,-0.18895945,-0.13570938,0.09364637,-0.044382457,-0.093794376,-0.22390851
AC018506.1,0.34567663,-0.38955125,-0.75532204,0.7570354,-0.39589882,-0.32304376,-0.087286815,-0.7895757,-0.064189404,0.43293515,0.33028233,-0.45642543,0.29199997,0.039279882,0.7239093
PLS3-AS1,0.013814226,0.7488988,0.5285447,-0.09246384,0.39178017,0.13708806,0.5821227,0.7187984,0.19865553,-0.11333092,0.5222992,0.5821948,0.22734356,0.682672,0.14519669
PPTC7,-0.2682252,-0.5563556,-0.013814135,-0.71775806,-0.09195911,0.09123802,-0.63460803,-0.267294,-0.26017883,-0.4617044,-1.0649859,-0.34975016,-0.524628,-0.9926496,-0.9790435
AC015813.6,0.18484543,0.18991059,0.0361918,0.07111201,0.0036579857,0.04230854,0.14661527,0.0303603,-0.03247327,-0.1105392,0.054530982,-0.03166732,0.13346553,0.08482877,0.05558621
GCH1,0.007936665,-0.731692,-0.71791023,0.049125403,-0.2615544,-0.4530561,-0.26545808,-0.7357618,-0.037484564,0.023770483,-0.2255451,-0.27386096,-0.030025735,-0.7062519,0.018572634
AC006299.1,0.09942844,0.29783192,-0.106360584,0.5373324,-0.025650088,-0.032082018,0.40108705,0.19322667,0.26643345,0.42476064,0.7949448,0.24647185,0.38418436,0.7701194,0.8386318
SOAT2,-0.8276633,-0.64032155,1.0711386,-1.8643107,0.060704302,1.0366209,-1.723961,0.14533472,-0.8882556,-1.0510055,-2.7281687,-0.8221489,-1.7150567,-1.6146194,-2.730711
MT-ND5,-0.058007635,0.11713329,0.49717647,-0.13730481,-0.10459498,0.60846347,-0.49023345,0.18694633,-0.30506155,-0.06033922,-0.57002014,-0.40290546,-0.37795752,0.049169242,-0.43269482
