,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
AC004241.4,0.9598,0.040200000000000014,3.172857695461819,2.2698133e-07,3.5470066e-07,0.0,0.25,-0.47053584,-0.67652607,6.172356,-22.886143,29.532255,0.0014115047,0.0008406952,0.005,0.0025,0.011782432,0.006969603,True,18 vs 08,18,08
AC090607.2,0.9584,0.04159999999999997,3.1371648301434383,2.0456114e-06,2.4221476e-06,0.0,0.25,0.005325464,-0.033763885,5.6921515,-20.856483,25.67405,0.0032860101,0.0022438723,0.01,0.005,0.02589931,0.019187214,True,18 vs 08,18,08
FRZB,0.955,0.04500000000000004,3.0550486389594163,2.7487672e-06,2.3338723e-06,0.0,0.25,0.21599272,0.10527229,5.131827,-19.585546,23.956635,0.0036894965,0.0,0.01,0.0,0.032595918,0.0,True,18 vs 08,18,08
AP003900.1,0.9518,0.04820000000000002,2.982995710668006,2.8549848e-06,2.0508426e-06,0.0,0.25,0.2753618,0.17936134,4.7745304,-19.59303,23.449581,0.0020522818,0.0042525013,0.005,0.01,0.018774034,0.03832246,True,18 vs 08,18,08
ALB,0.9518,0.04820000000000002,2.982995710668006,1.6204562e-05,9.1774245e-06,0.0,0.25,0.4861031,0.53110886,3.950195,-12.408049,11.864062,0.035889182,0.0148961255,0.0425,0.03,0.35875577,0.14504434,True,18 vs 08,18,08
AC021086.1,0.9492,0.050799999999999956,2.9277229836619862,8.4121945e-07,1.121154e-06,0.0,0.25,-0.23200129,-0.3348713,4.4888334,-15.846872,21.240274,0.0,0.0029680275,0.0,0.005,0.0,0.033598974,True,18 vs 08,18,08
AC105020.5,0.9488,0.05120000000000002,2.9194583114251467,1.2131724e-06,1.2284157e-06,0.0,0.25,0.04052607,-0.08165169,5.088433,-21.73033,24.074633,0.0019122463,0.0027426882,0.005,0.01,0.016744496,0.022974323,True,18 vs 08,18,08
AC005224.3,0.9478,0.052200000000000024,2.8990608336247803,2.3069401e-06,2.0970042e-06,0.0,0.25,0.56133896,0.5257225,5.232258,-24.352915,27.71637,0.0021484848,0.0014769941,0.005,0.005,0.017453933,0.012206019,True,18 vs 08,18,08
SERPINB5,0.9474,0.05259999999999998,2.8910050911871408,1.4155951e-06,1.1097968e-06,0.0,0.25,-0.03177442,-0.027781487,3.5868669,-13.238815,14.3718195,0.0033984862,0.0024714095,0.0075,0.005,0.033111073,0.023998966,True,18 vs 08,18,08
AC087045.3,0.9468,0.053200000000000025,2.879029303884215,1.04517085e-05,1.9586589e-05,0.0,0.25,-0.8222987,-0.92324734,3.5637422,-13.127346,10.9667225,0.004838878,0.0118896775,0.0175,0.0325,0.04434162,0.11300329,True,18 vs 08,18,08
AC027796.3,0.946,0.05400000000000005,2.8632583478732596,1.1357492e-06,1.3443206e-06,0.0,0.25,-0.13220154,-0.22597122,5.249798,-20.09336,24.478771,0.0020525018,0.0016543859,0.005,0.005,0.018181354,0.015394116,True,18 vs 08,18,08
AC008738.3,0.9458,0.054200000000000026,2.859350047835406,7.1325815e-07,6.53299e-07,0.0,0.25,0.19131123,0.11934185,5.3341165,-21.959356,25.243437,0.0017560615,0.0020794144,0.0025,0.005,0.017516928,0.021896897,True,18 vs 08,18,08
TMPRSS11E,0.944,0.05600000000000005,2.8247743074321585,2.676056e-06,2.3591394e-06,0.0,0.25,-0.013665599,0.016280174,3.4080353,-12.922081,13.518054,0.0012161313,0.0057918024,0.005,0.015,0.010667551,0.04982529,True,18 vs 08,18,08
CHI3L2,0.9438,0.05620000000000003,2.820997355052179,1.3343187e-05,3.4977597e-06,0.0,0.25,1.2769481,1.2584467,3.2033007,-9.675472,14.734396,0.022144737,0.001164567,0.035,0.0025,0.20004557,0.009386968,False,18 vs 08,18,08
PCDH17,0.9436,0.056400000000000006,2.817233022322269,1.0317711e-05,2.6117145e-06,0.0,0.25,1.4171244,1.3315697,3.4149914,-11.287927,15.320194,0.033707358,0.0068919854,0.06,0.02,0.2926023,0.05668563,False,18 vs 08,18,08
AC012181.2,0.9432,0.05679999999999996,2.809741858041939,1.7927233e-06,1.6954535e-06,0.0,0.25,-0.03387835,-0.07919121,3.9746294,-16.017458,19.212055,0.005040079,0.00312381,0.0125,0.0075,0.04948757,0.03004601,False,18 vs 08,18,08
CHI3L1,0.943,0.05700000000000005,2.806014849964779,7.3561355e-06,3.1756838e-06,0.0,0.25,0.86124074,0.8527651,3.2299526,-9.8153925,11.222116,0.013356595,0.00086378015,0.0375,0.005,0.1265112,0.008334364,False,18 vs 08,18,08
PHACTR3,0.9426,0.05740000000000001,2.798597547557051,9.070764e-05,0.00017313618,0.0,0.25,-0.99256194,-1.0841055,3.0850856,-11.638343,10.030797,0.055140898,0.105860434,0.145,0.2475,0.5012859,0.95357275,False,18 vs 08,18,08
OLAH,0.9424,0.057599999999999985,2.794907082195586,3.0957879e-06,1.9508327e-06,0.0,0.25,0.4772784,0.42100048,3.3637123,-11.498959,11.685144,0.007860098,0.0014550219,0.02,0.0075,0.07420244,0.014003308,False,18 vs 08,18,08
AC021242.3,0.9422,0.05779999999999996,2.791228628190702,7.9538876e-07,1.1935349e-06,0.0,0.25,-0.57252187,-0.68917274,4.0786743,-13.991034,17.01149,0.001592799,0.0004701069,0.005,0.0025,0.015233771,0.0038483439,False,18 vs 08,18,08
ITGAM,0.9422,0.05779999999999996,2.791228628190702,2.6591947e-06,1.5131665e-06,0.0,0.25,0.58591956,0.50460243,3.748914,-12.885393,16.638006,0.0043373927,0.00034211428,0.01,0.0025,0.04715811,0.0030724683,False,18 vs 08,18,08
S100A8,0.9416,0.05840000000000001,2.780264505499244,6.0353173e-05,1.5597958e-05,0.0,0.25,1.7014947,1.7353463,2.4529,-7.6416445,11.104006,0.1669439,0.011656283,0.3375,0.0275,1.625781,0.110770285,False,18 vs 08,18,08
AC114495.1,0.9416,0.05840000000000001,2.780264505499244,8.3008797e-07,1.2834632e-06,0.0,0.25,-0.66525793,-0.6813898,2.9918344,-9.987266,10.441269,0.0005154714,0.0049451864,0.0025,0.015,0.004891562,0.050462503,False,18 vs 08,18,08
AC006946.3,0.9408,0.05920000000000003,2.7658088769647486,4.5683537e-06,3.4009186e-06,0.0,0.25,0.27035806,0.23942184,3.2070103,-12.255241,14.495196,0.004460093,0.0065844227,0.01,0.0125,0.038165193,0.058464102,False,18 vs 08,18,08
IP6K3,0.9408,0.05920000000000003,2.7658088769647486,5.139529e-05,5.8554637e-05,0.0,0.25,-0.29787904,-0.41154623,3.099492,-11.616273,11.448126,0.036800895,0.05956844,0.1025,0.155,0.32689098,0.5262875,False,18 vs 08,18,08
MYT1,0.9406,0.05940000000000001,2.7622235854237056,2.0825632e-06,1.5792383e-06,0.0,0.25,0.39997482,0.37705517,3.6059022,-14.26399,17.548616,0.005112294,0.0006250332,0.0125,0.0025,0.064242244,0.005654068,False,18 vs 08,18,08
DAPP1,0.9404,0.059599999999999986,2.7586495854431625,1.2197818e-06,9.703821e-07,0.0,0.25,0.4324588,0.4406042,3.0337281,-9.678501,11.442043,0.003955242,0.0026459484,0.015,0.0075,0.035409503,0.024884863,False,18 vs 08,18,08
AL357552.2,0.9404,0.059599999999999986,2.7586495854431625,3.4694244e-07,6.2504614e-07,0.0,0.25,-0.5685684,-0.5879307,2.9499807,-10.972012,8.309961,0.002727203,0.0,0.01,0.0,0.022328524,0.0,False,18 vs 08,18,08
AC093663.2,0.9404,0.059599999999999986,2.7586495854431625,7.403194e-07,6.581189e-07,0.0,0.25,0.36605275,0.27099705,5.870288,-25.09004,29.147957,0.0009819118,0.0,0.0025,0.0,0.009076553,0.0,False,18 vs 08,18,08
ASCL1,0.9402,0.059799999999999964,2.755086801045413,8.97805e-07,9.2556814e-07,0.0,0.25,0.12256487,0.050351143,3.3778915,-12.344521,13.64036,0.0021502746,0.0018646551,0.005,0.0075,0.020588012,0.016371801,False,18 vs 08,18,08
AC019226.1,0.94,0.06000000000000005,2.751535157013593,1.0747225e-06,1.1942107e-06,0.0,0.25,-0.0015940251,-0.08341026,3.1605556,-9.726634,11.751499,0.002669111,0.0028026444,0.0075,0.0075,0.024379807,0.02460339,False,18 vs 08,18,08
AC044849.2,0.94,0.06000000000000005,2.751535157013593,9.554532e-07,1.3071975e-06,0.0,0.25,-0.40284398,-0.4815836,2.9772193,-10.037622,13.303696,0.0011031597,0.0021297615,0.005,0.0075,0.011026279,0.019352011,False,18 vs 08,18,08
AL138759.1,0.9398,0.06020000000000003,2.747994578881558,6.967739e-07,1.3744684e-06,0.0,0.25,-1.0194618,-1.0238218,3.2407746,-12.719504,11.858419,0.0,0.0032878614,0.0,0.0125,0.0,0.027984142,False,18 vs 08,18,08
HIST1H4K,0.9398,0.06020000000000003,2.747994578881558,1.1501114e-06,1.1201308e-06,0.0,0.25,-0.41545996,-0.46129894,3.0547948,-10.928853,11.125051,0.00071491854,0.0012496908,0.0025,0.005,0.00716845,0.013063975,False,18 vs 08,18,08
LCE3D,0.9396,0.06040000000000001,2.744464992923915,2.2442996e-06,1.0717795e-06,0.0,0.25,0.6007931,0.46360016,3.8416667,-16.62351,20.6698,0.00906735,0.0006494899,0.0225,0.0025,0.079469316,0.0052352,False,18 vs 08,18,08
PRH1,0.9396,0.06040000000000001,2.744464992923915,7.8616245e-07,9.141759e-07,0.0,0.25,-0.19749719,-0.31152344,4.0960193,-17.714464,21.207886,0.0,0.002990535,0.0,0.0075,0.0,0.028968563,False,18 vs 08,18,08
KRT6A,0.939,0.061000000000000054,2.7339414617501654,4.0778887e-05,9.060063e-06,0.0,0.25,1.7518623,1.6933794,2.9240935,-8.795481,14.310955,0.1852825,0.00661803,0.33,0.02,1.7319446,0.056321863,False,18 vs 08,18,08
CD248,0.9382,0.061799999999999966,2.7200596302771367,5.4276534e-06,2.4947649e-06,0.0,0.25,0.8638061,0.85987663,3.0296602,-10.002239,14.273027,0.009976753,0.0027171401,0.0275,0.0075,0.09126681,0.024471797,False,18 vs 08,18,08
AC092071.1,0.938,0.062000000000000055,2.7166154133318035,1.689793e-06,1.3853205e-06,0.0,0.25,0.27425492,0.17432404,3.835268,-15.846315,18.788303,0.0009391904,0.0037545678,0.0025,0.01,0.008369482,0.034393616,False,18 vs 08,18,08
RCC1L,0.938,0.062000000000000055,2.7166154133318035,2.9807836e-07,7.1728033e-07,0.0,0.25,-0.7019035,-0.7271948,3.199694,-11.416199,11.646177,0.0005957116,0.0038249975,0.0025,0.01,0.0049286075,0.041126117,False,18 vs 08,18,08
AC011899.2,0.9378,0.06220000000000003,2.713181556801915,4.972932e-06,4.213119e-06,0.0,0.25,-0.067493476,-0.12901497,3.280948,-12.433389,11.262461,0.006862657,0.00824806,0.0125,0.02,0.060263123,0.07133643,False,18 vs 08,18,08
CPB2,0.9378,0.06220000000000003,2.713181556801915,3.2761402e-06,1.4814418e-06,0.0,0.25,1.0734589,1.0685902,3.0142186,-9.213011,11.615878,0.0059428387,0.0024020514,0.02,0.005,0.054265738,0.021574123,False,18 vs 08,18,08
SAA1,0.9376,0.06240000000000001,2.7097579938564973,2.7754799e-05,8.243938e-06,0.0,0.25,1.3528051,1.4279242,2.823516,-7.97635,11.064375,0.046064526,0.0040394664,0.12,0.01,0.4455286,0.036792878,False,18 vs 08,18,08
XAF1,0.9374,0.06259999999999999,2.706344658305962,7.050036e-07,8.0431204e-07,0.0,0.25,-0.1002833,-0.11098766,3.1802511,-11.950146,13.992422,0.0,0.00045830928,0.0,0.0025,0.0,0.004616641,False,18 vs 08,18,08
KRT16,0.9374,0.06259999999999999,2.706344658305962,1.8146091e-05,6.129339e-06,0.0,0.25,1.1120493,1.1095562,2.7565153,-9.855807,10.787299,0.04251603,0.0018337163,0.09,0.0075,0.41776058,0.017649883,False,18 vs 08,18,08
BX322234.1,0.9372,0.06279999999999997,2.702941484593913,6.241496e-07,7.7922175e-07,0.0,0.25,-0.13894174,-0.16322994,3.3799577,-11.488174,14.262613,0.0019470295,0.0011539231,0.005,0.005,0.01754896,0.010781271,False,18 vs 08,18,08
TDRD9,0.9372,0.06279999999999997,2.702941484593913,4.7656185e-06,2.2687732e-06,0.0,0.25,0.74211687,0.7332735,3.320616,-10.798908,14.163423,0.008139643,0.0020156736,0.0225,0.0075,0.07634279,0.018850137,False,18 vs 08,18,08
LINC01983,0.937,0.06299999999999994,2.699548407789103,1.8905615e-06,1.519573e-06,0.0,0.25,0.18479864,0.24461365,3.2507262,-11.374921,10.805666,0.0046362053,0.00034296978,0.0175,0.0025,0.046124402,0.0030813995,False,18 vs 08,18,08
LCN2,0.937,0.06299999999999994,2.699548407789103,4.2262454e-06,5.1134994e-06,0.0,0.25,-0.31981966,-0.22396469,3.1721425,-10.861639,9.637173,0.0059381104,0.006946951,0.02,0.0125,0.059451304,0.068706065,False,18 vs 08,18,08
AP000936.2,0.9368,0.06320000000000003,2.6961653635774967,5.3274834e-07,8.6170684e-07,0.0,0.25,-0.56086993,-0.68310165,4.2217636,-18.592676,19.973444,0.0008001604,0.0,0.0025,0.0,0.0075093163,0.0,False,18 vs 08,18,08
KRT5,0.9364,0.06359999999999999,2.689429118717184,3.045481e-06,2.9270443e-06,0.0,0.25,-0.08129515,-0.06892109,2.9597366,-8.964091,9.329588,0.010374153,0.004905528,0.035,0.0125,0.10361494,0.047339115,False,18 vs 08,18,08
UBE2CP4,0.9362,0.06379999999999997,2.6860757924569056,2.3512202e-06,5.114397e-06,0.0,0.25,-0.95646095,-0.99859333,3.4217117,-11.297013,10.194553,0.0028966737,0.010946559,0.0125,0.0375,0.029523116,0.104962975,False,18 vs 08,18,08
AC127496.6,0.936,0.06399999999999995,2.682732247551694,5.109899e-07,5.033491e-07,0.0,0.25,-0.31800982,-0.3583231,3.1274183,-10.897917,13.743122,0.0,0.00139278,0.0,0.005,0.0,0.012634781,False,18 vs 08,18,08
FAM83A,0.9358,0.06420000000000003,2.679398422659016,3.2785617e-06,2.1735002e-06,0.0,0.25,0.47861117,0.41003895,3.0288384,-10.406647,12.610588,0.007946428,0.000628858,0.02,0.0025,0.07757422,0.005632177,False,18 vs 08,18,08
AC092807.2,0.9358,0.06420000000000003,2.679398422659016,7.278183e-07,9.1147416e-07,0.0,0.25,-0.1922069,-0.30109024,4.300586,-19.482952,21.500525,0.0035598248,0.005374052,0.0075,0.0125,0.03218971,0.04919466,False,18 vs 08,18,08
RNU6-2,0.9352,0.06479999999999997,2.669454663171554,1.4468474e-06,1.58525e-06,0.0,0.25,-0.1000415,-0.22720337,5.8225756,-25.20352,29.090721,0.001428692,0.0028857144,0.005,0.0075,0.012569103,0.02758235,False,18 vs 08,18,08
LINC00964,0.9352,0.06479999999999997,2.669454663171554,1.538899e-06,1.809209e-06,0.0,0.25,-0.35612267,-0.37317753,3.015288,-10.9726,11.53953,0.0025368081,0.003275104,0.01,0.0125,0.021047192,0.034906033,False,18 vs 08,18,08
KLF1,0.9352,0.06479999999999997,2.669454663171554,8.18874e-07,1.2794467e-06,0.0,0.25,-0.545591,-0.6549673,3.0344143,-13.281925,15.765163,0.0020328024,0.0,0.0075,0.0,0.018543014,0.0,False,18 vs 08,18,08
AC004898.1,0.935,0.06499999999999995,2.666159116242096,2.554559e-07,3.8678385e-07,0.0,0.25,-0.49169502,-0.52096176,2.8961387,-11.113358,10.218918,0.00040715723,0.0,0.0025,0.0,0.0037986485,0.0,False,18 vs 08,18,08
CXCL3,0.9348,0.06520000000000004,2.662872991055349,1.4204511e-06,1.670905e-06,0.0,0.25,-0.10487205,-0.10207939,3.0436394,-8.955925,9.274536,0.0022244046,0.00034718215,0.0075,0.0025,0.021627046,0.003218652,False,18 vs 08,18,08
TNF,0.9344,0.06559999999999999,2.6563287743869615,4.5326888e-07,7.9189215e-07,0.0,0.25,-0.61678094,-0.70765495,3.6098118,-14.711824,16.126831,0.0,0.0041799285,0.0,0.005,0.0,0.038242053,False,18 vs 08,18,08
BMP7,0.9344,0.06559999999999999,2.6563287743869615,2.2079664e-06,3.5811192e-06,0.0,0.25,-0.60899067,-0.6282244,3.109478,-10.91392,12.181198,0.00093897135,0.004797935,0.005,0.01,0.009271169,0.05276855,False,18 vs 08,18,08
ST13P5,0.9334,0.06659999999999999,2.6401291165327536,1.1855934e-06,1.541473e-06,0.0,0.25,-0.49810195,-0.45118713,3.0151877,-10.268805,10.557043,0.0020195078,0.0018590512,0.01,0.0075,0.019432722,0.01798516,False,18 vs 08,18,08
AC027796.1,0.9332,0.06679999999999997,2.636916320619904,5.465486e-06,5.747629e-06,0.0,0.25,-0.010347592,-0.07638359,2.7665071,-9.188002,10.311324,0.006311245,0.00392651,0.015,0.0125,0.053453673,0.033717822,False,18 vs 08,18,08
CSF3,0.933,0.06699999999999995,2.633712442920772,6.8459616e-07,1.0385834e-06,0.0,0.25,-0.3916618,-0.50677776,4.391444,-19.356441,21.607454,0.0,0.0006494899,0.0,0.0025,0.0,0.0052352,False,18 vs 08,18,08
PAMR1,0.9328,0.06720000000000004,2.6305174299780223,9.713311e-07,1.4103279e-06,0.0,0.25,-0.40191883,-0.43270016,2.7935767,-9.103796,8.848732,0.0,0.005495702,0.0,0.015,0.0,0.05093917,False,18 vs 08,18,08
AL136221.1,0.9328,0.06720000000000004,2.6305174299780223,1.3988159e-06,1.2958836e-06,0.0,0.25,0.31888205,0.3402748,3.1353328,-11.488436,14.543402,0.0014694667,0.00057369797,0.0025,0.0025,0.011384103,0.005235938,False,18 vs 08,18,08
TRPC5OS,0.9326,0.06740000000000002,2.627331228810728,3.6800384e-06,2.9339644e-06,0.0,0.25,0.23282771,0.122130394,3.5402162,-12.564765,16.973606,0.0034279001,0.007403752,0.0075,0.02,0.02920804,0.06936461,False,18 vs 08,18,08
AC008026.3,0.9324,0.0676,2.6241537869087113,3.377129e-07,5.7095303e-07,0.0,0.25,-0.76230943,-0.85517883,2.9984283,-10.524263,12.787542,0.0,0.0030624869,0.0,0.0075,0.0,0.027354179,False,18 vs 08,18,08
AC073842.2,0.9324,0.0676,2.6241537869087113,6.9745914e-07,8.380335e-07,0.0,0.25,-0.21358755,-0.25857735,2.6847875,-9.1837845,10.467695,0.0012005502,0.0006805046,0.005,0.0025,0.011876471,0.006371941,False,18 vs 08,18,08
BBOX1,0.9322,0.06779999999999997,2.6209850522269886,5.5694036e-06,2.7260285e-06,0.0,0.25,0.6624471,0.7011719,2.8638656,-11.199187,10.446947,0.011951305,0.0014623132,0.035,0.0075,0.11781891,0.012689455,False,18 vs 08,18,08
SERPINA11,0.9322,0.06779999999999997,2.6209850522269886,1.4565476e-06,1.1344392e-06,0.0,0.25,0.55771166,0.44295788,3.6450863,-16.12927,19.661001,0.005352763,0.00085904106,0.015,0.0025,0.054071303,0.007348676,False,18 vs 08,18,08
CT45A11P,0.9322,0.06779999999999997,2.6209850522269886,1.3743795e-06,1.6182074e-06,0.0,0.25,-0.102239475,-0.19405365,4.289663,-17.361992,20.906794,0.0029171768,0.0006805046,0.0075,0.0025,0.0285268,0.006371941,False,18 vs 08,18,08
CPNE8,0.932,0.06799999999999995,2.6178249731802863,5.2681594e-07,5.056286e-07,0.0,0.25,-0.0029706082,-0.09393501,2.915406,-9.921419,12.859131,0.0,0.0010300529,0.0,0.005,0.0,0.008770684,False,18 vs 08,18,08
AC009908.1,0.932,0.06799999999999995,2.6178249731802863,1.6644036e-06,1.3318811e-06,0.0,0.25,0.23032571,0.15421104,3.072956,-9.981838,14.693758,0.0029126366,0.0,0.01,0.0,0.02761248,0.0,False,18 vs 08,18,08
RP1L1,0.9318,0.06820000000000004,2.6146734986376408,1.7744154e-06,1.8614503e-06,0.0,0.25,0.15979959,0.1263504,3.0012445,-10.177431,11.452972,0.00095765037,0.0028125388,0.0025,0.0075,0.009967644,0.023739194,False,18 vs 08,18,08
BGN,0.9316,0.06840000000000002,2.611530577917082,1.1546928e-06,1.4156119e-06,0.0,0.25,-0.27437356,-0.30168056,2.8857634,-11.5226,12.478582,0.0013457632,0.0023342585,0.005,0.0075,0.013323157,0.021558577,False,18 vs 08,18,08
AL512430.3,0.9316,0.06840000000000002,2.611530577917082,7.7388177e-07,1.1455425e-06,0.0,0.25,-0.74395776,-0.7877064,2.6081648,-8.281521,9.594663,0.0,0.0025162078,0.0,0.0075,0.0,0.026896816,False,18 vs 08,18,08
TUBA3D,0.9314,0.0686,2.608396160780379,1.5567777e-05,2.0113743e-05,0.0,0.25,-0.4660367,-0.5128393,2.8719609,-9.591787,9.4775505,0.02661281,0.031166995,0.0825,0.0925,0.23999323,0.29025707,False,18 vs 08,18,08
PEAR1,0.9314,0.0686,2.608396160780379,3.6776387e-06,2.7539536e-06,0.0,0.25,0.33606005,0.2739067,2.9105735,-12.863119,14.421399,0.00824928,0.0052616494,0.0225,0.0175,0.07151367,0.05211387,False,18 vs 08,18,08
AL161729.1,0.9314,0.0686,2.608396160780379,1.1990801e-06,1.8383214e-06,0.0,0.25,-0.58503956,-0.47663784,2.954601,-9.025425,9.173023,0.0012434586,0.0026164388,0.0025,0.01,0.013740698,0.0251399,False,18 vs 08,18,08
AC106028.2,0.9314,0.0686,2.608396160780379,5.628855e-07,9.608603e-07,0.0,0.25,-0.6353934,-0.6294403,3.069445,-13.247674,10.123822,0.0023329959,0.0005782832,0.0075,0.0025,0.021413758,0.0052523236,False,18 vs 08,18,08
IRF9,0.931,0.06899999999999995,2.6021526384934215,1.7015313e-06,1.8376115e-06,0.0,0.25,-0.12941118,-0.24797249,3.0481195,-11.193361,14.839445,0.0011827913,0.0,0.005,0.0,0.009693447,0.0,False,18 vs 08,18,08
FAM86FP,0.9308,0.06920000000000004,2.5990434350392984,8.904905e-07,1.3955777e-06,0.0,0.25,-0.6947514,-0.722579,2.741258,-10.213794,8.491103,0.0,0.00545593,0.0,0.0125,0.0,0.056221798,False,18 vs 08,18,08
C10orf10,0.9308,0.06920000000000004,2.5990434350392984,2.046138e-06,1.5746098e-06,0.0,0.25,0.26963574,0.21451473,2.9135306,-10.108969,12.587175,0.0,0.0020987175,0.0,0.0075,0.0,0.020471916,False,18 vs 08,18,08
AC007458.1,0.9304,0.0696,2.5928499009339956,1.3776878e-06,1.3599098e-06,0.0,0.25,-0.12326738,-0.15527534,2.6658182,-8.38324,9.674488,0.003729771,0.0031319356,0.01,0.0075,0.0411099,0.03156276,False,18 vs 08,18,08
PHBP10,0.9302,0.06979999999999997,2.5897654745055814,9.5284e-07,1.1345335e-06,0.0,0.25,-0.23406772,-0.28358555,2.4866505,-7.9225845,9.838459,0.0027468472,0.0011711809,0.0075,0.005,0.02725103,0.011390713,False,18 vs 08,18,08
FOXD4,0.9302,0.06979999999999997,2.5897654745055814,2.1595733e-06,1.9409424e-06,0.0,0.25,0.16630208,0.14961529,3.0670815,-11.855005,16.471004,0.0034450477,0.0,0.0075,0.0,0.030500341,0.0,False,18 vs 08,18,08
AL445228.2,0.9302,0.06979999999999997,2.5897654745055814,2.2901136e-06,1.578749e-06,0.0,0.25,0.5246453,0.48038006,2.9896069,-9.984106,13.373289,0.0062379027,0.0011845967,0.0175,0.005,0.060068097,0.012061514,False,18 vs 08,18,08
PRR29,0.93,0.06999999999999995,2.586689211993499,1.7197358e-06,1.8012153e-06,0.0,0.25,0.019426249,-0.025734901,3.2008047,-13.455433,15.18251,0.0,0.0006494899,0.0,0.0025,0.0,0.0052352,False,18 vs 08,18,08
AC008759.3,0.9298,0.07020000000000004,2.583621066529587,1.8340796e-05,8.873857e-06,0.0,0.25,0.8272581,0.8264494,2.5076666,-8.109174,11.206191,0.034407623,0.0052716476,0.095,0.0075,0.3136112,0.04810925,False,18 vs 08,18,08
AC012485.3,0.9298,0.07020000000000004,2.583621066529587,1.0081575e-06,1.0810913e-06,0.0,0.25,0.0005188713,-0.052466393,3.031572,-9.92955,10.436222,0.0017667302,0.0022230924,0.0025,0.01,0.014394164,0.01885251,False,18 vs 08,18,08
AC138655.1,0.9298,0.07020000000000004,2.583621066529587,2.0045684e-06,1.6703054e-06,0.0,0.25,0.3409395,0.29261875,4.2306075,-17.221497,20.418406,0.0015920327,0.004729412,0.005,0.0125,0.014332477,0.04320601,False,18 vs 08,18,08
SCRG1,0.9294,0.0706,2.5775089412682624,1.91723e-06,2.6977164e-06,0.0,0.25,-0.5405148,-0.552186,2.8970172,-9.745709,7.9917946,0.0036496005,0.005530843,0.0125,0.015,0.03466949,0.046910066,False,18 vs 08,18,08
TUBA3GP,0.9292,0.07079999999999997,2.5744648697155985,5.9842687e-06,1.0242501e-05,0.0,0.25,-0.7272763,-0.77625036,2.5992632,-8.6750765,7.9143753,0.0023038783,0.0075309933,0.01,0.0225,0.021177651,0.066971384,False,18 vs 08,18,08
AC021739.2,0.929,0.07099999999999995,2.571428731691726,3.226209e-06,3.6942595e-06,0.0,0.25,-0.10326108,-0.23278904,4.2553167,-17.860258,21.063595,0.0025974193,0.0055400906,0.0075,0.015,0.023832154,0.053000823,False,18 vs 08,18,08
ORM1,0.929,0.07099999999999995,2.571428731691726,5.025404e-06,2.488442e-06,0.0,0.25,0.85569054,0.7998657,3.0218117,-9.533762,12.851919,0.01218135,0.00045830928,0.025,0.0025,0.11747732,0.004616641,False,18 vs 08,18,08
STEAP4,0.9288,0.07120000000000004,2.568400482282903,5.4605703e-06,8.018643e-06,0.0,0.25,-0.63104266,-0.70679665,2.8453548,-10.110383,9.0202,0.008738764,0.011475235,0.0275,0.0325,0.08440955,0.102709495,False,18 vs 08,18,08
LINC00504,0.9286,0.07140000000000002,2.5653800769531694,1.4668517e-06,1.5231285e-06,0.0,0.25,-0.14634612,-0.16829014,2.6298776,-8.090651,9.549446,0.0025772157,0.0007272745,0.0075,0.0025,0.025212826,0.005341283,False,18 vs 08,18,08
U47924.1,0.9286,0.07140000000000002,2.5653800769531694,5.884861e-07,7.0514955e-07,0.0,0.25,-0.29735136,-0.32022285,2.7149827,-8.658911,9.822487,0.0015550517,0.001159689,0.005,0.005,0.016254164,0.010875895,False,18 vs 08,18,08
LINC01224,0.9286,0.07140000000000002,2.5653800769531694,2.584483e-05,3.0773426e-05,0.0,0.25,-0.23114549,-0.28098297,2.646214,-9.770697,8.900469,0.010302175,0.009623235,0.0375,0.025,0.09912879,0.08721941,False,18 vs 08,18,08
AL591686.1,0.9284,0.0716,2.562367471540107,2.555106e-06,2.4451558e-06,0.0,0.25,-0.01692834,-0.019098282,2.8859699,-9.673334,9.550128,0.00042911063,0.0030937553,0.0025,0.0075,0.0034325833,0.034472417,False,18 vs 08,18,08
MADCAM1,0.9282,0.07179999999999997,2.559362622250681,1.3896037e-06,1.8507784e-06,0.0,0.25,-0.41370606,-0.4671936,2.8515604,-11.097033,13.090031,0.0025610188,0.006763003,0.0075,0.0175,0.024282122,0.06640529,False,18 vs 08,18,08
AP005131.6,0.9282,0.07179999999999997,2.559362622250681,1.8759976e-06,2.372455e-06,0.0,0.25,-0.31049258,-0.3452692,2.8746073,-11.545599,12.434416,0.0022324764,0.0038249772,0.005,0.0125,0.021706248,0.03793595,False,18 vs 08,18,08
EGFLAM,0.928,0.07199999999999995,2.556365485657129,9.975647e-06,1.6707972e-05,0.0,0.25,-0.82408506,-0.8398142,2.779484,-9.231099,8.125927,0.0038543558,0.027592096,0.0175,0.0775,0.035897445,0.25817654,False,18 vs 08,18,08
SYCP1,0.928,0.07199999999999995,2.556365485657129,4.2686332e-07,8.503748e-07,0.0,0.25,-1.1154809,-1.1676359,2.5304375,-10.232332,7.0834923,0.0013832237,0.0016579892,0.005,0.005,0.012937472,0.015553513,False,18 vs 08,18,08
