,00 vs 02,01 vs 08,02 vs 08,00 vs 18,01 vs 02,02 vs 04,00 vs 01,04 vs 08,04 vs 18,00 vs 08,08 vs 18,00 vs 04,01 vs 18,01 vs 04,02 vs 18
AC144450.1,0.45628536,0.18601473,0.1897874,0.73225045,0.016585786,-0.12807812,0.47106037,0.26422194,0.30917954,0.5559343,0.06428756,0.23819567,0.2710094,-0.15574668,0.13548522
HMGB1P40,-0.123482496,-0.27992937,-0.08574096,-0.15824811,-0.15412347,0.07363505,-0.0032191062,-0.13487324,-0.07365239,-0.26172516,0.09359989,-0.1449802,-0.19492963,-0.14158137,-0.03297666
RASGEF1B,-0.43542907,0.28916895,0.33040598,0.108052835,-0.04055395,0.038727496,-0.3921292,0.27774438,0.49105868,-0.105019495,0.22521354,-0.38115948,0.5179193,0.019975334,0.5289615
FBP1,0.24021086,0.5099939,0.4672705,0.8563884,0.008940599,0.3747339,0.23068298,0.102524646,0.2755542,0.73865825,0.14265637,0.6215254,0.61776054,0.38202,0.6404746
JPH1,-0.17872857,0.35084614,0.34724176,0.265697,0.0038175983,0.04049744,-0.16920887,0.28847894,0.38638785,0.16693646,0.093200184,-0.110145316,0.4644796,0.06823879,0.44552296
TPM1,-0.14827679,-0.6067665,-0.5017301,-0.9036368,-0.1090865,-0.21149614,-0.048264142,-0.28256825,-0.54282165,-0.6520752,-0.25395393,-0.3824325,-0.86894727,-0.32553133,-0.75188875
AL683813.1,-0.30726925,0.42185512,0.09007923,0.17361662,0.33524147,-0.42425698,-0.618569,0.4749886,0.75147146,-0.32581872,0.4031611,-0.6986693,0.8514335,-0.017708294,0.42024952
AC092910.1,0.46221626,0.7440202,0.586397,1.5898948,0.1369227,0.4320772,0.305748,0.19105034,0.7139603,1.0341402,0.54169714,0.81157583,1.2275953,0.51791245,1.0812011
STAT3,-0.09407235,-0.3506707,-0.33900347,-0.63415104,-0.009185303,-0.16920123,-0.087379,-0.16986881,-0.38592994,-0.43815175,-0.19866523,-0.27200028,-0.55098885,-0.17938754,-0.5524761
RAP2C,0.112213865,0.30694202,0.23179539,0.3559189,0.07024323,0.129944,0.04147081,0.096118435,0.111311436,0.33646876,0.01680865,0.2428291,0.32058865,0.20723741,0.24603845
CXCL3,0.6398984,0.7663937,0.698848,1.3291515,0.08557857,0.66572326,0.5201371,0.05339754,0.103492625,1.3168393,0.039137527,1.2072389,0.7689591,0.68665934,0.6917345
SLITRK5,0.16658671,1.277699,1.0171419,1.4575753,0.23062971,0.48683456,-0.043852095,0.501795,0.75662386,1.1893296,0.26353797,0.68509257,1.5161924,0.73258674,1.2520596
NEB,0.22549902,0.44324288,0.12536563,0.33365604,0.32090807,-0.0043630158,-0.09375042,0.11728729,0.035829466,0.2955832,-0.0017936807,0.19902885,0.428579,0.31983745,0.04412926
S100P,-0.23956627,-0.66917026,-0.45374805,-0.85559005,-0.22301656,-0.14361638,-0.02472548,-0.2922244,-0.44547853,-0.6715984,-0.16557492,-0.4030625,-0.8487044,-0.38300323,-0.60235995
AARD,-0.17563549,0.9556424,0.8254867,1.2928058,0.1421836,0.16526456,-0.30717874,0.6536136,1.2603046,0.6220801,0.6448542,-0.00052747707,1.6200927,0.31835032,1.4267844
CEACAM5,-0.49881846,0.019505447,0.34384918,0.3048692,-0.31917888,0.1269509,-0.18242636,0.22014168,0.69183195,-0.17861143,0.47301835,-0.40705872,0.4805713,-0.2201242,0.8150112
IRX2,-0.32995394,-0.5803694,-0.4145767,-0.80989814,-0.15591355,-0.2725945,-0.17068517,-0.13632777,-0.21389136,-0.74126875,-0.0676978,-0.60739714,-0.6343833,-0.43489498,-0.48768276
UBQLNL,0.13731626,-0.15604293,-0.26406947,-0.0737701,0.08311845,-0.16511989,0.07006095,-0.09191978,-0.13087818,-0.14026728,0.02105472,-0.08123682,-0.1707498,-0.12033133,-0.32348052
MAFB,-1.0909129,-1.5569836,-1.0994045,-2.1073067,-0.43098003,-0.75990665,-0.66078705,-0.31647113,-0.29220647,-2.1974444,0.06539881,-1.8724959,-1.4638475,-1.2166861,-1.0418863
CD44,-0.11801781,0.054505322,0.029478112,-0.016246647,0.013907683,0.020498972,-0.13920441,0.0077289217,0.06286025,-0.0999502,0.06815848,-0.10794093,0.10253025,0.03318621,0.09152638
NCAPD3,0.036213517,0.35555097,0.32808253,0.3990416,0.04059344,0.081683464,-0.0031956008,0.23619603,0.29306993,0.3559293,0.03982341,0.1283302,0.42593795,0.13971627,0.37765396
TFAP2A,0.20841426,0.18735597,0.052447315,0.09209031,0.13343005,0.04920042,0.074210614,-0.0055270987,-0.17832482,0.24395013,-0.1594497,0.25083715,0.027760318,0.19129992,-0.12352385
HSPB8,0.3398977,0.24214754,0.090545975,0.04463663,0.1492481,0.18550874,0.18160488,-0.10288095,-0.48150703,0.42748842,-0.3798529,0.49707705,-0.15004732,0.3236302,-0.31388882
EGFLAM,-1.8059165,-2.1939974,-1.4192487,-2.703029,-0.7347444,-1.0235279,-1.0870814,-0.3381613,0.10429513,-3.2370777,0.4950218,-2.8754175,-1.6742815,-1.8111478,-0.91052234
TAOK1,-0.05537965,0.07357624,-0.037759595,-0.07861587,0.11098933,-0.152319,-0.157021,0.102901354,0.0862458,-0.119583994,0.019924674,-0.19522102,0.10590647,-0.014780802,-0.039352525
CEACAM6,-0.14814197,0.20984842,0.06725439,-0.118560985,0.115577586,0.017245322,-0.2582011,0.036545694,-0.06682884,-0.110569604,-0.041886315,-0.14515495,0.12901117,0.13472354,-0.017480496
AC004241.4,0.7308629,1.1756878,0.7633129,2.2903814,0.448557,-0.15468022,0.32111377,0.846767,1.5340536,1.2926105,0.79211247,0.51455444,2.0162737,0.29794273,1.4162436
AC084024.3,-0.3819817,-0.11761612,-0.12509929,-0.06474326,-0.019280136,-0.26369628,-0.36126664,0.16025142,0.5137195,-0.5281337,0.40349904,-0.69464856,0.2605733,-0.29607287,0.23755154
AC079949.1,0.25906596,0.77093804,0.5019004,0.7195703,0.26228002,0.20365794,-0.0076057394,0.26747394,0.24088384,0.7366407,-0.019092849,0.46074852,0.746318,0.50609624,0.43506733
MYO15B,0.01072832,0.53706187,0.4049736,1.1552407,0.100328274,0.1897967,-0.093679555,0.24575958,0.9173888,0.38781518,0.736195,0.16819304,1.2190584,0.2703964,1.1154675
KRT80,-0.21188189,-0.9522828,-0.8356043,-1.5187775,-0.11439718,-0.39290366,-0.1067559,-0.43807578,-0.92828184,-1.0549686,-0.4712725,-0.6352734,-1.4268725,-0.5140906,-1.3196585
PLAC8L1,0.051038273,-0.058877356,-0.16264074,0.29540306,0.075387046,-0.008706939,-0.0619044,-0.109051175,0.25577354,-0.16945152,0.42481637,-0.029672839,0.30033594,0.05639984,0.26192033
FOXD4,0.1641067,-0.17726786,-0.20242211,-0.20661196,0.031956792,-0.15674269,0.14327173,-0.07282128,-0.32324886,-0.082744725,-0.21248506,-0.09942727,-0.40932623,-0.20228763,-0.5495927
GREM2,0.46128383,1.7554486,1.5346127,2.2755919,0.20178717,0.836438,0.27510166,0.6825064,1.0227914,2.0371273,0.2987358,1.3342867,2.0394018,1.0546397,1.8247992
ROBO2,0.1858259,0.90812725,0.7371745,1.3049439,0.15421143,0.347638,0.04621339,0.39020184,0.75759745,0.93416524,0.37683865,0.5562485,1.2720381,0.50409245,1.1019611
AL596244.1,0.2594301,1.0370848,0.7155708,1.4033803,0.287217,0.35835016,-0.023562567,0.37406313,0.74303854,0.9808963,0.41368315,0.6028078,1.4030181,0.6332328,1.079801
TGFBR3,-1.0772436,-1.0781842,-0.7928358,-1.835295,-0.24605347,-0.72255194,-0.8175453,-0.06061816,-0.11739374,-1.8770418,0.012123722,-1.8175386,-1.0247391,-0.99801934,-0.8496098
TSC22D3,-0.6585005,-1.1053616,-0.770616,-1.4180943,-0.32853064,-0.4533435,-0.32874218,-0.29441336,-0.3158593,-1.414817,-0.0041991235,-1.1260068,-1.1057748,-0.80604553,-0.77199703
SEPT14,-0.801246,-0.9313018,-0.72273946,-1.1268232,-0.22679207,-0.4312996,-0.5905671,-0.230243,0.07011464,-1.5098715,0.36749327,-1.2886665,-0.611967,-0.70526475,-0.3851153
TRPV4,0.11049485,0.18391111,0.114936806,0.33946815,0.031786293,0.15273048,0.071047984,-0.009342982,0.0658007,0.24722409,0.09079901,0.19825059,0.21994184,0.14802301,0.16202722
CD52,-1.2524523,-1.3842909,-0.8279757,-1.8274614,-0.5404245,-0.62851185,-0.70478,-0.16722171,0.018837642,-2.059891,0.2145333,-1.9091008,-1.1590823,-1.2213289,-0.6220724
SNX30,-0.47267827,-0.15200952,-0.03202964,-0.38700318,-0.10705907,-0.15200174,-0.3583018,0.11426537,0.20921715,-0.50805974,0.111588515,-0.61203504,-0.024025053,-0.25909734,0.0696471
ALDH3B1,0.12581286,0.46685204,0.27613887,0.20352317,0.19222905,0.17961635,-0.073211744,0.07596044,-0.1375394,0.3842706,-0.19442406,0.2821187,0.2582315,0.3660303,0.028587092
RBBP8,0.30299637,0.7802071,0.57129836,0.7949957,0.21188296,0.3581302,0.087453075,0.19751309,0.123684384,0.8717575,-0.075678825,0.65213937,0.6990125,0.5622414,0.46198893
SOX4,-0.31505272,-0.120458424,-0.095855854,-0.30294856,-0.021138443,-0.18854436,-0.2866742,0.0825048,0.15751505,-0.43067363,0.106678806,-0.49627924,-0.0020202182,-0.1965769,-0.0107611865
PKMYT1,0.22164392,0.42934927,0.38963243,0.56458706,0.05297686,0.16656704,0.16328093,0.21754922,0.2132109,0.6069858,-0.038200635,0.38403034,0.41996235,0.23197319,0.3660385
HMGN5,-0.08724055,-0.07415324,-0.07068536,-0.15726474,-0.000112569425,-0.03129285,-0.10007131,-0.03645934,-0.03492064,-0.17848033,0.0156413,-0.13313206,-0.064210854,-0.026132034,-0.058543358
PRH1,-0.19287038,-0.2803553,-0.06009378,0.008326516,-0.24724711,-0.0977515,0.07333834,0.020076333,0.22997202,-0.28496113,0.22714734,-0.36313185,-0.09657125,-0.3937121,0.104313955
AC032011.1,-0.24217132,-0.079012915,-0.19574502,-0.16502175,0.091542356,-0.16871637,-0.34947813,-0.004468326,0.19835415,-0.47592843,0.27498072,-0.45543173,0.15463528,-0.07214286,0.041898973
UCP3,0.29606745,0.79526025,0.5636367,1.0534214,0.1986441,0.4434191,0.08515709,0.13431627,0.29358846,0.85043466,0.19032927,0.68564314,0.9186995,0.6089759,0.7076052
SDC2,0.097980745,0.22722766,0.17814758,0.15973207,0.049276453,0.13464986,0.04933823,0.03780283,-0.08017107,0.2775458,-0.11828353,0.21987808,0.108016394,0.17278492,0.043514792
MT1X,-0.5872168,-1.451784,-1.039375,-1.8830585,-0.40924475,-0.42196646,-0.19941477,-0.58513814,-0.84070545,-1.61643,-0.2587779,-1.0512785,-1.7241037,-0.8631335,-1.2616585
GEN1,-0.06662249,0.00023274535,-0.0073143095,-1.8081475e-05,0.037286412,-0.1704133,-0.10291925,0.1590957,0.23291762,-0.11484361,0.09537301,-0.22978032,0.14195356,-0.110154055,0.08851602
CUX2,0.077974476,1.196637,0.9573419,1.3944042,0.2090451,0.43708998,-0.11959699,0.505775,0.8258257,1.0345283,0.3471521,0.5114904,1.5099161,0.6453957,1.248571
C11orf70,-0.06015608,-0.7117789,-0.5606048,-0.87365294,-0.1678536,-0.1063321,0.10014595,-0.42743325,-0.6874796,-0.59089094,-0.26274922,-0.2004345,-1.0071678,-0.30930963,-0.81654036
HERC6,-0.111164145,0.08607095,0.11170489,0.12245298,-0.03103974,0.025484622,-0.07414501,0.08877634,0.21338996,0.00504238,0.12980141,-0.06638151,0.21584187,0.007587133,0.25256023
ZFHX3,-0.5993732,-0.89845634,-0.7510842,-1.4503921,-0.13269745,-0.59332794,-0.45830727,-0.16217129,-0.3188547,-1.3729705,-0.11103954,-1.1927711,-0.981082,-0.71642464,-0.8836367
RAPGEF2,-0.12055813,0.10125644,0.0076551116,-0.030173179,0.08847566,-0.10022128,-0.20190844,0.1020845,0.14389394,-0.12844363,0.076440684,-0.20853801,0.1760908,0.0005383179,0.06444251
CRYAB,-0.38669097,-1.1242846,-0.79683477,-1.4497355,-0.33499348,-0.27560353,-0.056935444,-0.4862326,-0.7648896,-1.1376184,-0.2860056,-0.70111954,-1.4336067,-0.66047627,-1.0790552
AL022069.1,-0.25886396,0.16153537,0.17819872,0.46709684,-0.028522607,-0.01752816,-0.22171216,0.21202672,0.6977079,-0.098315954,0.53086674,-0.29182863,0.6703395,-0.06878074,0.68526477
AP5B1,-0.28609642,-0.27391514,-0.3449993,-0.64264745,0.058433477,-0.3378418,-0.33029437,-0.013388514,-0.1342564,-0.65108913,-0.051234674,-0.6714671,-0.34353212,-0.30724174,-0.49226263
CRABP2,0.1997178,0.36596984,0.3053448,0.5304972,0.05254056,0.24048887,0.14404741,0.06729485,0.10372493,0.515983,0.024775883,0.43046412,0.37630582,0.2815434,0.32499403
BMP4,0.6927229,0.8187122,0.49664247,0.97209686,0.3115708,0.42975184,0.3710349,0.056407385,-0.14582384,1.1762277,-0.204987,1.1055471,0.58892876,0.73980963,0.2720474
AC087501.5,-0.30400276,-0.2957579,-0.29407397,-0.49967846,-0.012815748,-0.24069433,-0.3023813,-0.03877906,0.02124874,-0.6288086,0.11030427,-0.58124876,-0.20342797,-0.24245882,-0.21242547
CHRNA3,-0.21404128,-0.58832633,-0.44047344,-0.5711446,-0.16263697,-0.26278988,-0.057304755,-0.15303326,-0.12602647,-0.6778458,0.062078923,-0.55041355,-0.5499803,-0.46163052,-0.40244272
NPEPPS,0.16063592,0.54828304,0.43655688,0.7305441,0.09987168,0.2295814,0.061325047,0.20096795,0.33985955,0.5940683,0.13545467,0.39727154,0.6767584,0.34007424,0.57331
TAOK3,0.2452041,0.6270817,0.35862356,0.4638474,0.2647633,0.14624763,-0.017315075,0.18318348,0.036252003,0.57828385,-0.12743899,0.40145314,0.5015492,0.44168955,0.1979019
MINDY2,-0.039109394,0.34698653,0.13223988,0.085536994,0.21474773,-0.121756226,-0.23899764,0.22517735,0.17651674,0.056370277,0.0019274084,-0.13709171,0.36379108,0.13352114,0.089236416
PNMT,-0.7217719,-1.977547,-1.4357135,-2.4851196,-0.5288919,-0.668057,-0.1991643,-0.71839285,-1.0643198,-2.1118505,-0.34435907,-1.4323626,-2.3220406,-1.2529777,-1.7665637
DCP2,0.009491412,0.18959133,0.14956664,0.14443405,0.04745116,0.019415447,-0.033950593,0.116402954,0.09923714,0.13824908,-0.008651268,0.034386296,0.19666085,0.077953756,0.13568544
RASSF1-AS1,0.2349428,0.41344786,0.2996788,0.39967662,0.08100319,0.31632933,0.13969493,-0.019063504,-0.1554959,0.5328622,-0.14608723,0.49671888,0.22029875,0.37916636,0.13422927
ITGAM,0.7180273,0.41634995,0.4751645,0.7061409,-0.069162264,0.7548562,0.77653337,-0.29006568,-0.73133886,1.2260085,-0.48119873,1.3510317,-0.14920457,0.5647498,-0.11200699
ARL6IP1,0.082392104,0.113555394,0.08458789,0.17171448,0.028743606,0.058673926,0.04826645,0.024895905,0.03700902,0.15475768,0.015116811,0.13314697,0.12590651,0.09209106,0.09697576
DDX21,-0.032433756,0.07987621,0.055154506,-0.023382854,0.026733551,-0.035471737,-0.055563495,0.076857865,0.028273612,0.0097339535,-0.043477934,-0.061984338,0.04848336,0.0061060945,0.004425152
RIPOR3,0.28260246,1.1856102,0.9102502,1.5236834,0.26065454,0.3620846,0.025164343,0.52578235,0.8724125,1.1655627,0.34883574,0.67651093,1.5364377,0.6753472,1.2623608
EPHA7,-1.1484072,-1.4866129,-1.0782921,-2.4723597,-0.42234796,-0.5474998,-0.72890216,-0.5259727,-0.8552423,-2.2287028,-0.26396903,-1.7522092,-1.8007858,-1.0194802,-1.4021052
AL133227.1,0.24248005,0.41947782,0.39387572,0.5139124,0.01874626,0.11376261,0.24649721,0.23492259,0.10773611,0.59796154,-0.12577438,0.32313332,0.2984508,0.13078402,0.21296184
INPP5J,0.05470368,0.22622685,0.21524553,0.40223405,0.007293326,0.17009489,0.046498474,0.05461725,0.18076389,0.2816302,0.1274275,0.21628629,0.34197968,0.15688887,0.33410916
LINC00992,0.11624071,0.79487693,0.7609625,1.2838454,0.0022420299,0.46803463,0.11233067,0.29878715,0.73551834,0.8978588,0.4048274,0.6008894,1.1685588,0.4787555,1.205809
AC104984.3,-0.6660546,-0.41644326,-0.30965176,-0.601514,-0.080721684,-0.4881172,-0.5760372,0.18495624,0.4895853,-1.0141823,0.37179816,-1.1632764,-0.011993582,-0.5657951,0.013295497
PDCD4,0.03437256,0.43243724,0.359448,0.5139026,0.06671974,0.14634682,-0.028971879,0.20126045,0.32398874,0.38468513,0.12280288,0.19267958,0.55693865,0.22837994,0.48228902
MALAT1,-0.04730736,-0.08204285,-0.15864043,-0.16860409,0.07813414,-0.20908599,-0.12428568,0.045703232,0.05439739,-0.23549676,0.03917156,-0.25718254,-0.032100905,-0.109632045,-0.13612422
AC073611.1,0.28085515,0.21485384,0.03102414,0.088681184,0.17288592,0.104286306,0.08335935,-0.06509534,-0.28667727,0.28791532,-0.20495296,0.3304667,-0.017081402,0.2816439,-0.20421243
NET1,-0.2952866,0.119716115,0.16896033,0.041690342,-0.036893148,-0.08231837,-0.24970156,0.24021529,0.4002562,-0.13612173,0.16475512,-0.35836974,0.3157076,-0.10325424,0.33280742
FAM84B,0.21148874,0.51359904,0.35593086,0.57980293,0.15687709,0.16670433,0.05673213,0.17604537,0.19058366,0.550591,0.02096493,0.388413,0.53849036,0.3392037,0.37001234
HIF1A-AS2,-0.6621632,-0.6045747,-0.44058856,-0.677793,-0.2131306,-0.33254755,-0.45081607,-0.088079914,0.256118,-1.1126192,0.39775327,-1.047659,-0.26834744,-0.5569131,-0.084532276
Z93241.1,-0.42772704,-1.1835665,-1.1929691,-1.5143992,0.013515398,-0.8317265,-0.45837018,-0.3133991,-0.32485053,-1.6685334,0.088239945,-1.3391342,-1.106165,-0.83586633,-1.1743348
NKX2-8,0.70858294,1.2001265,1.0231481,1.5291827,0.17129633,0.65410656,0.55939466,0.32355052,0.11887449,1.7336285,-0.22552054,1.2893257,0.9451881,0.752643,0.6745895
FTX,-0.050088193,0.23849586,0.07560812,0.17349698,0.1519131,-0.11558718,-0.19259286,0.18406679,0.28840908,0.0015099115,0.14865483,-0.1579912,0.3886167,0.06481165,0.19384137
AP001999.1,-0.019330997,0.24774511,0.17923355,0.21293865,0.053528357,0.055813,-0.077484764,0.13524726,0.18859981,0.1726208,0.05278855,0.025049632,0.289605,0.121487685,0.22205386
HOXB-AS1,0.09246051,0.5222117,0.34511867,0.7010524,0.15877092,0.1527175,-0.07009758,0.19844826,0.42452037,0.42259157,0.25183073,0.22550896,0.74976873,0.30611783,0.57223445
CEACAM16,-0.046572365,0.11765747,0.079223126,0.3641981,-0.02450375,0.16771883,-0.025830029,-0.06942053,0.20321624,0.037619542,0.31181616,0.07304761,0.33676127,0.1145997,0.359221
AC091965.4,0.15528335,0.5794857,0.43981886,0.5022689,0.12572059,0.26677704,0.019406179,0.15527858,0.08956346,0.57097244,-0.060002495,0.40918514,0.49753007,0.4200875,0.3568606
MCF2L-AS1,0.2729888,0.79317766,0.6524594,1.0284147,0.12847784,0.45559648,0.13842635,0.19915397,0.30804127,0.938004,0.10030326,0.6985962,0.86219406,0.5573377,0.7233635
PSCA,-0.4742875,-1.2728134,-0.9867046,-1.5243909,-0.2979905,-0.4198066,-0.20353276,-0.53065854,-0.63250977,-1.4981188,-0.061008662,-0.9735182,-1.3689334,-0.74966127,-1.0342696
ENPP1,-0.6381357,-1.3238887,-1.062174,-1.9445754,-0.2469581,-0.66609436,-0.39725682,-0.38641113,-0.67022485,-1.7274691,-0.2439332,-1.3284519,-1.5515811,-0.91351414,-1.3105705
PLCE1,-0.24941096,-0.5933551,-0.5145989,-0.82771707,-0.04882633,-0.49379689,-0.20143875,-0.016810253,-0.11462296,-0.8166923,-0.059333704,-0.77720946,-0.6131241,-0.53840315,-0.59794974
NEBL,-0.25905415,-0.7298469,-0.57041496,-1.0886158,-0.1567429,-0.29214227,-0.10171258,-0.2763133,-0.5445339,-0.8290895,-0.26057833,-0.5576692,-0.9847106,-0.4510249,-0.8246316
TMEM132D-AS1,-0.41625816,-0.44006625,-0.3312303,-0.6070396,-0.1587716,0.0059236796,-0.29803243,-0.3045378,-0.18904045,-0.776528,0.15546952,-0.4699439,-0.37225994,-0.15396005,-0.14618097
SMAD9,0.14697094,0.6766497,0.3889622,0.874871,0.26179838,0.027695812,-0.119987845,0.35988286,0.64875954,0.47362816,0.34037623,0.15058799,1.0013165,0.32559738,0.7093964
IRS1,-0.04312418,0.16006692,0.12249048,0.0878489,0.032277204,0.0936783,-0.076563016,0.026321923,0.023924772,0.07972066,0.009554155,0.046675034,0.15735771,0.12047433,0.115636215
KITLG,0.58312535,1.4587065,1.0896925,1.7140532,0.34710214,0.6262418,0.24285096,0.44106084,0.4934812,1.6711439,0.04479403,1.2203102,1.4844102,0.9860336,1.1151546
AC092809.4,0.19423148,1.0731412,0.9281746,1.4027712,0.13920286,0.4260436,0.06516234,0.4819143,0.7438613,1.1004976,0.2785411,0.5868631,1.3389809,0.5450536,1.1410177
MAPT,0.0019686741,0.09441965,0.09213013,0.08470987,-0.0019501857,0.03544573,0.005944753,0.054264434,0.04720361,0.10257092,-0.014479956,0.040269986,0.07937722,0.03624333,0.075831816
PGR,-0.03081762,0.41046515,0.34687048,0.52318424,0.04345858,0.11950167,-0.06649005,0.21995918,0.42245707,0.31477156,0.20402543,0.11148479,0.6069356,0.18755917,0.5628593
ZNF432,0.09347181,0.21808217,0.06581825,0.19477439,0.13746051,-0.01611255,-0.035583694,0.0760643,0.0774843,0.14815003,0.034888744,0.082766466,0.24048279,0.13490117,0.07309564
BTG1,-0.2425232,-0.19872773,-0.087892585,-0.2541456,-0.121527836,-0.047545183,-0.11837635,-0.03559963,0.034756407,-0.32115716,0.0694393,-0.2825867,-0.13570733,-0.16781794,-0.0005207754
ADAT1,-0.14369944,0.22352964,0.09916952,-0.05339365,0.1264765,-0.13976839,-0.26019228,0.21130165,0.17388305,-0.07699705,-0.011145502,-0.2615963,0.23761606,0.02597284,0.071580805
ZNF629,-0.09592453,0.123937964,0.08420907,0.03930374,0.051146153,-0.06437776,-0.1405795,0.13557984,0.16134898,-0.032435164,0.04649138,-0.15901132,0.18552652,-0.010961712,0.10534329
AC092919.2,0.59431267,0.8205827,0.35401562,1.0666752,0.47445455,0.118232004,0.08242866,0.22546797,0.32089385,0.8224372,0.16667622,0.63675296,0.97347313,0.62320787,0.45548046
PRC1,0.1093875,0.21707176,0.17613763,0.27600747,0.06824868,-0.003937871,0.032486107,0.17266513,0.19126144,0.24692874,0.017011749,0.10459584,0.27489766,0.08865208,0.20307666
AC120114.4,-0.11778191,0.31479084,-0.045120254,-0.14675109,0.37584528,-0.43010926,-0.48112682,0.3374913,0.26867184,-0.26116854,0.03197789,-0.53138036,0.38481385,0.016287066,-0.09812523
MCM6,0.052959558,0.35353628,0.32680142,0.35482165,0.018564343,0.14748563,0.041698936,0.17097814,0.15507907,0.39755225,-0.03974547,0.20737642,0.3192523,0.16935098,0.2910859
MYO10,-0.43657482,-0.7984418,-0.5887753,-1.0204754,-0.21856765,-0.3550898,-0.21400523,-0.2196937,-0.24490303,-1.0137295,-0.010548709,-0.7990501,-0.8146269,-0.5818478,-0.59634185
TFRC,-0.0148510365,0.09926165,0.08104501,0.100980826,0.012103631,0.014301854,-0.024618207,0.062260363,0.092213795,0.06165746,0.032739393,0.0013226537,0.13034654,0.033907793,0.11148142
FAM214A,-0.25164878,-0.13865651,-0.08725517,-0.25485623,-0.06697163,-0.11363954,-0.17924397,0.023299592,0.09105476,-0.34039637,0.07915857,-0.35434985,-0.06674735,-0.1638194,-0.002199746
AFDN,-0.23511037,-0.40747404,-0.41766635,-0.6526547,0.014488942,-0.37601703,-0.2443362,-0.045627516,-0.0926445,-0.6872811,0.0033607692,-0.6148116,-0.3931036,-0.34341648,-0.44233906
HBA2,0.16005771,-0.0063857147,0.06467312,0.18308114,-0.066378556,0.2739766,0.20796077,-0.17354682,-0.19396743,0.25691828,-0.031147424,0.38676602,-0.06655646,0.15156764,0.023594556
CAP2,-0.23043406,-0.2649977,-0.16992274,-0.4037264,-0.09360103,-0.13757604,-0.13140526,-0.03339743,-0.04675601,-0.39937726,-0.004417838,-0.36023846,-0.26111385,-0.22739719,-0.17578109
ABL2,-0.05420658,0.17105025,0.022331292,-0.06136383,0.15390092,-0.11205867,-0.20180875,0.11368882,0.053902946,-0.06456725,-0.018874034,-0.14622839,0.16273855,0.07083109,-0.025924258
AP003119.3,-0.29566237,0.13502175,0.2880759,0.36466217,-0.19063431,0.18352674,-0.08347007,0.120526,0.47931412,0.052181423,0.34799817,-0.07566231,0.44877496,-0.019947587,0.6600298
AL161626.1,0.068701394,0.74127877,0.4828222,0.8952419,0.25343075,0.096550524,-0.19350815,0.37466863,0.71369475,0.5124392,0.3708419,0.17431256,1.1080384,0.40019357,0.8180133
ADRB1,-0.37415126,0.95804405,0.87325984,1.1784626,-0.008412287,0.5087202,-0.34510437,0.38239315,0.98289406,0.57890344,0.6158208,0.13865128,1.4667975,0.47075406,1.4573544
TTC6,-0.12827091,0.8416658,0.68546474,1.1510966,0.153157,0.07750074,-0.2721321,0.59188396,1.1611828,0.5030113,0.60664445,-0.0261229,1.469079,0.28025398,1.2877458
GRHL2,-0.42027515,-0.23908718,-0.14973317,-0.3731605,-0.09225524,-0.23061694,-0.31850407,0.08006851,0.2394157,-0.57852906,0.18392356,-0.6406269,-0.046027638,-0.31469166,0.029679311
AL355297.3,-0.12526686,-0.32017466,-0.49453452,-0.34636462,0.1533477,-0.33392328,-0.29982594,-0.12816332,0.04412434,-0.67790157,0.2677892,-0.52926826,-0.09966855,-0.19056706,-0.28372753
LONP2,-0.12169163,-0.06624527,-0.052450415,-0.1917574,-0.018280474,-0.0816949,-0.09909907,0.022242645,-0.003970321,-0.18235713,-0.013996303,-0.19460762,-0.07704378,-0.08435307,-0.067798235
PPL,-0.16683209,-0.726869,-0.66595185,-1.2163687,-0.05551109,-0.31865126,-0.11733135,-0.343218,-0.75143194,-0.84010595,-0.38565257,-0.51045877,-1.1112393,-0.38284278,-1.0672098
PAGE1,-0.084551394,0.4578826,0.53342795,0.8054755,-0.10110277,0.5309568,-0.0013480175,0.03699133,0.40450245,0.4907329,0.36168686,0.41079044,0.74840564,0.37598518,0.8911341
BLVRA,0.18392299,0.26220447,0.31266686,0.60129595,-0.075724155,0.33867863,0.24319175,-0.007992806,0.13685477,0.5136617,0.109650694,0.50175256,0.33728376,0.25417152,0.46243984
DUSP4,0.4808761,1.3654199,1.0643091,1.7631254,0.30584335,0.5516141,0.17819095,0.4902594,0.72935456,1.521818,0.23999983,1.0493761,1.6100848,0.8726584,1.2869334
WDR76,-0.063456625,0.36680838,0.3912104,0.24150144,-0.015530053,0.06756624,-0.03766523,0.30344138,0.24062203,0.3312869,-0.097291775,0.01953853,0.3116657,0.07330846,0.3118245
SOWAHA,-0.046633728,0.23286626,0.26729125,0.3430016,-0.0502115,0.068526156,0.017242251,0.19411527,0.33591712,0.23461883,0.123239696,0.05754308,0.3653468,0.04936869,0.42238086
HPCAL1,-0.17181253,-0.50035757,-0.39542297,-0.8789329,-0.096804984,-0.15355173,-0.077630356,-0.23922649,-0.5600812,-0.5559038,-0.319309,-0.34720555,-0.8171895,-0.27248114,-0.72894937
ALB,-0.41776398,-2.3866007,-1.7805117,-2.7118542,-0.58637893,-0.34715945,0.08637033,-1.2964545,-1.7703965,-2.1650229,-0.4579471,-0.92707676,-2.910516,-1.0507156,-2.1965468
