,00 vs 02,01 vs 08,02 vs 08,00 vs 18,01 vs 02,02 vs 04,00 vs 01,04 vs 08,04 vs 18,00 vs 08,08 vs 18,00 vs 04,01 vs 18,01 vs 04,02 vs 18
ZNF703,-0.13894041,0.037515186,0.091494314,0.06532979,-0.05967349,0.02144641,-0.07487802,0.07215221,0.18066561,-0.036239825,0.1061728,-0.11357933,0.13976088,-0.04180106,0.1956865
ZNF57,-0.4112857,-0.5595663,-0.3901203,-0.8864238,-0.16452098,-0.22236489,-0.24744047,-0.16064632,-0.26749694,-0.80043906,-0.091225006,-0.646807,-0.65331453,-0.4037232,-0.48615712
DDIT3,0.14801945,0.16833824,0.08622524,0.17422208,0.07272111,0.12184862,0.062991746,-0.035415333,-0.09098656,0.21919353,-0.05848388,0.25187954,0.09814499,0.19657354,0.039842665
TNS4,0.10713983,0.5234028,0.38366464,0.458664,0.123496436,0.19088683,-0.011817694,0.18010134,0.14128955,0.48815566,-0.03998415,0.29962048,0.47389838,0.3251974,0.33706808
ASNS,0.60280454,0.90102714,0.6638061,1.2867599,0.22178242,0.49162564,0.36470515,0.16592488,0.22978894,1.2543241,0.040259533,1.0847149,0.91953474,0.72821087,0.7167081
PAMR1,0.12011277,0.50021625,0.53648454,0.8291794,-0.05012238,0.43711954,0.17812358,0.087552145,0.21664202,0.634064,0.15600426,0.4965438,0.59859663,0.30643684,0.6354509
LINC00458,-0.08639092,0.321902,0.4048627,0.5625154,-0.08159331,0.2595855,0.0024445523,0.13862589,0.34887972,0.29044476,0.2406271,0.12989385,0.536145,0.12188386,0.60248923
DNA2,0.036817003,0.43900958,0.38302362,0.3628129,0.080650136,0.03257004,-0.03588133,0.32580915,0.2869019,0.39879256,-0.05252078,0.08955641,0.4399766,0.14055239,0.33549535
NPPC,-0.08411083,0.057625487,0.16351852,0.1973835,-0.14206481,0.2244699,0.062106047,-0.028574964,0.09402935,0.14261894,0.10630074,0.13549998,0.120760314,0.057761412,0.28661484
TMPO,0.06606323,0.23066796,0.215942,0.23750079,0.031199707,0.055963166,0.035707466,0.15010442,0.12522076,0.26901498,-0.033884935,0.12680925,0.22674412,0.09858887,0.18486048
SPATA1,0.16267014,0.42972422,0.22444683,0.5155437,0.18832049,0.10832976,-0.035388157,0.1256961,0.22944427,0.3709001,0.13410378,0.24442497,0.5362161,0.3030897,0.32817122
GNAI1,0.42547417,0.84261435,0.6661311,0.98937833,0.18950865,0.48440972,0.23798816,0.17470531,0.095512025,1.1019765,-0.081681564,0.90540284,0.7616023,0.65141946,0.5510121
CACNA1I,-0.013357497,0.15528493,0.12260798,0.04560358,0.02569918,0.065618545,-0.039226368,0.05644056,-0.008890538,0.11840216,-0.056443885,0.038969073,0.08810749,0.092103764,0.03660274
DAAM1,-0.05399709,0.16291745,0.105189785,0.105596215,0.05631361,-0.03468754,-0.10162144,0.1277826,0.16691756,0.039279956,0.057146844,-0.073718786,0.22886162,0.039062694,0.14862767
DDX43,-0.368161,-0.43193424,-0.38391513,-0.708166,-0.04504653,-0.23815712,-0.3410531,-0.12263406,-0.12280443,-0.77261114,0.053032387,-0.65799206,-0.39778754,-0.30004585,-0.37865356
UGCG,-0.20920798,-0.24118581,-0.17478617,-0.38216943,-0.063219994,-0.14014542,-0.14194617,-0.035433207,-0.049142677,-0.38753718,0.0008245695,-0.34485638,-0.2327418,-0.20096178,-0.17868376
CHI3L2,-0.419656,-2.657682,-2.3649797,-3.6502712,-0.25161317,-1.0433041,-0.22693916,-1.267805,-2.1982925,-2.8784842,-0.81443024,-1.6261439,-3.498737,-1.3586338,-3.248744
RPS26P38,0.018762702,-0.12632632,-0.13989715,-0.08864523,-0.04073891,0.12891044,0.044295203,-0.24642725,-0.25720006,-0.106154576,0.01096348,0.06559902,-0.2129841,0.039985698,-0.18525524
ZBTB38,-0.31416905,-0.5866597,-0.4660809,-0.9382878,-0.11146804,-0.2665057,-0.20116036,-0.1967882,-0.3775283,-0.78209126,-0.15886053,-0.58730906,-0.73874897,-0.38641986,-0.63904095
AC093001.1,-0.07487163,0.4694419,0.5540223,0.90846014,-0.08981919,0.3275709,0.016245931,0.24635635,0.67927253,0.50333303,0.4180872,0.2474753,0.8741085,0.20376709,0.9820248
RP11-763B22.4,0.22714126,0.6220723,0.6413212,1.0849813,-0.012233603,0.63502574,0.19596623,0.043208428,0.30930424,0.8532049,0.26829845,0.780454,0.840122,0.56853276,0.89518183
COL4A2,-1.5906143,-1.4045237,-0.71112025,-1.6068733,-0.65747255,-0.69594854,-0.93373126,0.031668924,0.66187644,-2.2958152,0.6602587,-2.3199813,-0.7101509,-1.4077157,-0.044472713
ABCA7,0.07493222,-0.18100955,-0.15162587,-0.2976692,-0.035918325,0.039415505,0.105513394,-0.18311574,-0.4022923,-0.059264116,-0.22773613,0.09068415,-0.42533046,-0.019057935,-0.38587585
IL6R,-0.7312357,-1.341566,-1.1104542,-1.9176937,-0.22751944,-0.69694024,-0.5018896,-0.39321655,-0.5494759,-1.8480775,-0.09737845,-1.4545333,-1.4400074,-0.9440462,-1.2382771
ZNF652,-0.48612964,-0.5130252,-0.36130214,-0.6856705,-0.15099515,-0.37914965,-0.31791124,0.016018717,0.13913648,-0.85699964,0.15335146,-0.8433664,-0.33891824,-0.5126462,-0.20784506
MAGEA11,0.0107931765,-0.08075522,-0.1079095,-0.22339797,0.001091568,-0.0270786,0.0018863986,-0.08201066,-0.20471315,-0.10695315,-0.1248865,-0.029280957,-0.22770917,-0.004323946,-0.21681875
AC008158.1,-0.052325383,0.52870864,0.47770098,0.7855421,-0.011213507,0.2760341,-0.035347413,0.2252554,0.56884885,0.4821226,0.329946,0.21803132,0.7941915,0.26265204,0.8041763
NR3C1,-0.07508743,0.43192872,0.32136646,0.30923173,0.103837624,0.047329802,-0.16589458,0.25137112,0.29570663,0.23024456,0.064130485,-0.0020737473,0.50136477,0.17930418,0.3713238
AC022893.1,0.016829217,0.07463036,-0.099851236,0.36186194,0.17620564,-0.25467625,-0.16712351,0.18217297,0.55792284,-0.13617893,0.4474573,-0.27780494,0.5219504,-0.07373321,0.30100343
AC073842.2,0.23888353,1.5998254,1.327313,2.1720665,0.25330296,0.5103012,0.004884586,0.8084513,1.3891027,1.5726099,0.5842846,0.7414198,2.173111,0.7586938,1.8496064
KRTAP3-1,0.06110278,0.4901599,0.5538083,0.897713,-0.083449185,0.43265015,0.14156356,0.14361443,0.4634463,0.6499645,0.29888263,0.49469477,0.7529712,0.33348536,0.8713105
TXNIP,-0.6834881,-0.806081,-0.5233454,-1.1452795,-0.26160726,-0.32065862,-0.42405477,-0.18587904,-0.1560963,-1.1957502,0.05379772,-1.0174596,-0.746469,-0.61594963,-0.4881101
ARRDC3,-0.21160728,-0.13150214,-0.124590285,-0.27423486,-0.0046797493,-0.10938859,-0.20791768,-0.018725354,0.0089955,-0.36705503,0.06443834,-0.3395495,-0.07001697,-0.11976815,-0.08051102
NUCKS1,0.06259353,0.20302854,0.16028827,0.26280266,0.044005726,0.06833188,0.017510258,0.087900504,0.1323805,0.2133062,0.04790364,0.13191368,0.25484344,0.12010398,0.20393585
SOX2,0.5844795,1.9408623,1.492649,2.4804602,0.42179185,0.71239305,0.1746471,0.7498192,1.1667742,2.0561895,0.42560977,1.3311445,2.3499293,1.1795927,1.8937722
FOXO1,-0.9077693,-1.500594,-1.1227268,-2.3204463,-0.3457859,-0.6779097,-0.56675136,-0.43867904,-0.7730841,-2.046214,-0.29141715,-1.6142731,-1.7722057,-1.0500755,-1.4431199
SOAT1,-0.20155142,0.2598987,0.30913445,0.25575668,-0.044389207,0.05333031,-0.1491179,0.24996535,0.40561002,0.11463745,0.14588948,-0.12894768,0.42480347,0.020365719,0.4632331
ZNF541,-1.1016251,-2.308267,-1.7009498,-3.0981376,-0.57609344,-0.9048788,-0.5331976,-0.7466914,-1.0915265,-2.7760322,-0.3071449,-2.052065,-2.603564,-1.5396262,-2.0158691
CROCCP3,-0.25032845,-0.27504107,-0.36107987,-0.29042223,0.04976464,-0.17814049,-0.3255002,-0.13984968,0.10944054,-0.63224643,0.3185565,-0.493689,-0.023346499,-0.13960153,-0.085737735
CENPE,0.12526144,0.13774478,0.101821244,0.24889876,0.09512617,-0.121685326,0.014123602,0.21783589,0.28734246,0.15760478,0.078331225,0.0056574545,0.29238358,0.013077896,0.1936554
MT-CO3,-0.056479722,-0.298401,-0.22625068,0.18454738,-0.09270708,-0.11511835,0.031904742,-0.068894565,0.35634086,-0.28756237,0.44610712,-0.19255567,0.12059686,-0.23041031,0.24856551
KIF15,0.011579802,0.3407492,0.3177519,0.36777705,0.08016145,-0.074726105,-0.073128,0.37851086,0.4551625,0.2811079,0.071358,-0.050467864,0.49805215,0.040746637,0.3973126
ZNF257,0.022723418,0.25439572,0.19237213,0.5889808,0.042235356,0.024063135,-0.043096285,0.1923082,0.55289376,0.17744803,0.3775244,-0.019317241,0.6058001,0.071763486,0.552172
AL117339.5,-0.28985602,-0.14347063,-0.15236229,-0.70233154,0.0061306227,-0.3134747,-0.27467364,0.11082617,-0.19874755,-0.48753121,-0.27448747,-0.6181411,-0.40113702,-0.2846136,-0.49040905
DLX3,0.07347891,-0.35434672,-0.32677123,-0.5541169,-0.03323606,-0.09075697,0.10166359,-0.23451458,-0.5298849,-0.25212136,-0.2966364,-0.029545788,-0.6614838,-0.12552279,-0.6246152
AC109927.1,0.8167807,2.2762337,1.7930238,3.2131507,0.4884418,0.89793396,0.33177364,0.88056594,1.4907115,2.5731378,0.6292395,1.7017477,2.8986826,1.3801879,2.3560612
PNLIP,-1.5660187,-2.8774507,-2.1326838,-4.0467086,-0.7066737,-1.1204736,-0.89490676,-0.95214736,-1.3528088,-3.700025,-0.337844,-2.7786994,-3.220483,-1.8888801,-2.4973202
AC254562.1,-0.2536752,-0.11687839,0.11032573,-0.0014320182,-0.21734187,-0.17943189,-0.018488938,0.26141208,0.39627188,-0.1773553,0.123488076,-0.47878525,0.0318684,-0.40668318,0.18861501
COL12A1,0.04106563,0.27090058,0.17957738,0.2983141,0.07517612,0.07999918,-0.040821776,0.095953494,0.16912171,0.20268151,0.07873111,0.11602567,0.33654967,0.17321056,0.26621768
