,0
388,CHN2
389,ALDH1A3
390,STMND1
391,AC127024.2
392,TM4SF1
393,CCNE2
394,TFAP2C
395,AC005838.2
396,CDKL5
397,LINC01863
398,AC138655.1
399,HILPDA
400,FAM214A
401,AC073611.1
402,ASNSP1
403,RNFT2
404,JAKMIP2
405,PIM3
406,EPB41L4A-AS2
407,AD000090.1
408,AC120114.4
409,KIRREL1
410,AC091965.4
411,BCAN
412,STRBP
413,PPP4R3A
414,ATP1A1
415,AC092069.1
416,ESPL1
417,AC024257.4
418,AC008663.2
419,PGC
420,FBXO32
421,FBP1
422,OAS1
423,BMS1P5
424,IGFBP2
425,DNAH7
426,ZBTB3
427,AL732292.2
428,MIPEPP3
429,AC018506.1
430,TENM3
431,AC025162.2
432,KPNA2
433,PLCD1
434,PTPN14
435,AC084024.3
436,PPP4R3CP
437,ATP5H
438,TMSB4X
439,AC087645.1
440,TVP23A
441,AP002001.1
442,FAM133A
443,CHST4
444,RASSF1-AS1
445,MYO18A
446,MAPT
447,CPN2
448,AC010504.1
449,JUNB
450,RPL21P50
451,WIPF3
452,VIPR1
453,DSP
454,AC010542.2
455,FAR2
456,LINC00992
457,DDX60
458,RBBP8
459,HSPB8
460,ATP6V1B1
461,PLXDC2
462,MYBL1
463,NBEA
464,C9orf3
465,JDP2
466,ZCCHC6
467,SRGN
468,SPINK13
469,CNBD2
470,TGOLN2
471,FAM46B
472,S100A9
473,AC127496.6
474,ZNF541
475,SHISA2
476,CDKN1A
477,RHOBTB3
478,PHACTR3
479,AC109327.2
480,TYMS
481,TFPI
482,TGFB3
483,AC135048.1
484,AARS
485,ECHDC2
486,ITM2A
487,KIF20B
488,SPSB4
489,C1RL-AS1
490,DUSP4
491,MCL1
492,CYP27A1
493,AC092279.2
494,AC011498.4
495,CLPTM1L
496,PITX1
497,RPS7P8
498,GNMT
499,VIM-AS1
500,AC068580.4
501,FAM13C
502,CALCR
503,KRT18P15
504,PRLR
505,CENPA
506,PRC1
507,SLC1A6
508,CD226
509,FKBP11
510,AC136475.5
511,AC092070.2
512,CREB3L2
513,AC006946.3
514,KLHL13
515,PSAT1
516,UBQLNL
517,CCNB1
518,CDCA8
519,WAC-AS1
520,CXCL3
521,AP000851.2
522,PGF
523,PNLDC1
524,CXADR
525,NCMAP
526,AL512430.3
527,EFNB3
528,UBE2T
529,ADGRD1
530,TMA16P2
531,DBH-AS1
532,AL161626.1
533,EEF1A2
534,ATF4
535,ESPNL
536,AL391421.1
537,AC002128.1
538,FAM198B
539,BMP4
540,ABL2
541,ADGRF1
542,NUPR1
543,TSC22D3
544,ASB9
545,BBOX1-AS1
546,TAT
547,GRHL3
548,HERPUD1
549,RASEF
550,AL683813.1
551,ABCC3
552,AL109614.1
553,AL121917.1
554,PPARGC1A
555,GLRX
556,ADAMTS8
557,ABCC5
558,AP002364.1
559,BOC
560,AARD
561,LINC00504
562,LRRN3
563,SYNE2
564,SCNN1G
565,PBX1
566,SYCP1
567,KRT18P50
568,TP53INP1
569,MATN2
570,MTMR9
571,AC083973.1
572,RPS26P38
573,DUSP5
574,SDR16C5
575,IER5
576,ITPKC
577,NEURL1
578,AC022893.1
579,NPPC
580,CDKN2B
581,CD36
582,PCDH9
583,ARHGAP15
584,CITED2
585,TTC6
586,ATP13A4
587,GULP1
588,OAS2
589,AC097641.3
590,RPS26P15
591,SEC24D
592,CDCA3
593,SLC7A9
594,AC005224.1
595,KRT37
596,AL121809.1
597,TSKU
598,AC008741.2
599,FAM111A
600,ESYT2
601,CA12
602,AC006600.2
603,AC097717.1
604,ASCL1
605,IL17RB
606,ZNF367
607,ARTN
608,AL022069.1
609,MDGA2
610,RSPH14
611,PRSS23
612,ME1
613,LONP2
614,CLDN1
615,LINC01762
616,TPPP3
617,AC092447.7
618,AL021878.2
619,CLCF1
620,NUF2
621,ELF3
622,LDLRAD3
623,FSCN1
624,SPRED1
625,NLRP1
626,MMP16
627,KPNA5
628,GABPB1-AS1
629,ZNF546
630,MAGED2
631,AC010719.1
632,HECTD3
633,PPIAP22
634,AL451074.1
635,RAPGEF2
636,ZBTB7A
637,ODAM
638,ST6GAL1
639,PRODH
640,RBM24
641,ACTA1
642,KRT4
643,AC105020.1
644,SEPHS2
645,AHCYL1
646,SECISBP2L
647,TAF5L
648,RN7SL674P
649,PBK
650,LFNG
651,AHNAK
652,AC108134.2
653,CLMN
654,ZFHX3
655,INPP5J
656,RPL8
657,CRYBB3
658,PTGER4
659,AC006030.1
660,CKAP4
661,ANO1
662,PLPP3
663,GTF2E1
664,TACC1
665,NANOS1
666,AC010735.2
667,NR4A1
668,AP001059.3
669,AC012313.3
670,MAPT-IT1
671,FN1
672,STAT3
673,UCA1
674,AGR3
675,MIR3936HG
676,COL18A1
677,C1QTNF3
678,GRAMD2A
679,AC021086.1
680,AP001972.5
681,AC109927.1
682,rnNR3C1
683,CSAD
684,AP003119.3
685,IRF2BP2
686,TP53I11
687,SULF1
688,PLAC1
689,TACC3
690,GATA3
691,SLC7A11
692,PTTG1
693,ZNF217
694,ZNF432
695,RN7SL832P
696,AC001226.1
697,PLXNA1
698,NFKBIA
699,KIF14
700,AC008735.2
701,SP6
702,UCP3
703,AL512343.2
704,GOLM1
705,DSCAM
706,SPAG5
707,ARHGEF2
708,CSRNP2
709,VAV3
710,FAM49A
711,AC007390.2
712,OR2B6
713,ADRB1
714,SERPINA1
715,AHSG
716,RPS6KA5
717,NCAPD3
718,DLG5
719,AFDN
720,MINDY2
721,NFIB
722,CAPN2
723,DLGAP5
724,NHEJ1
725,TEX14
726,MX1
727,UHRF1
728,ATP8A2
729,MVP
730,AC134682.1
731,COL12A1
732,IRS1
733,JAK1
734,BAG3
735,TAF7L
736,ANXA3
737,PSCA
738,RAB3B
739,SOWAHA
740,C5orf30
741,RAB5B
742,PNMT
743,SYBU
744,PDGFB
745,MBNL2
746,CYP4F22
747,CEP19
748,RAP2C
749,LMO7
750,HIST1H2AE
751,VIM
752,AC139749.1
753,GFRA2
754,DDIT3
755,CSF1
756,TTC14
757,IER3
758,AC244021.1
759,CDKN2C
760,GDF15
761,HSPA1B
762,LINC00052
763,WDR11-AS1
764,F7
765,DERA
766,MXRA8
767,LMO4
768,ZNF585A
769,CCDC116
770,CASC9
771,AC108488.1
772,DHTKD1
773,ZFHX4-AS1
774,AC114495.1
775,LINC01759
776,CKAP5
777,ADSSL1
778,SNHG3
779,SLC25A18
780,FAM105A
781,PCDH1
782,DNM3
783,TSPYL4
784,TMEM229B
785,NEDD4L
786,AL441883.1
787,ESCO2
788,LRRC75A
789,RNLS
790,MTCO2P12
791,TRIM45
792,AC254562.1
793,LINGO4
794,WDR38
795,RN7SK
796,RBP1
797,C1orf64
798,RAB27B
799,NSDHL
800,LINC00852
801,TNF
802,PPM1K
803,NGFR
804,SLC43A3
805,SATB1
806,SDR9C7
807,PCDHGA2
808,AP002761.4
809,MCF2L-AS1
810,HOXB-AS1
811,STEAP1
812,AL121983.2
813,SLC5A3
814,APBB2
815,SNX25
816,ULK2
817,OGFRL1
818,H2AFX
819,KCNE2
820,RGS2
821,WDR78
822,BBOX1
823,PDE7A
824,AC009446.1
825,HOXC8
826,AC034102.5
827,SLC20A1
828,PRKCD
829,CST9
830,CBLL1
831,HBA2
832,BCAR3
833,PDZK1IP1
834,SOD3
835,CA8
836,DEGS2
837,UBE2C
838,PCNA
839,PALLD
840,OASL
841,ABCA7
842,ZNF497
843,TACC2
844,ANKRD17
845,AL592293.1
846,MAP7D2
847,ASPM
848,ZNF750
849,PLEKHF2
850,NAT1
851,BHLHE40
852,MASTL
853,KRT81
854,ERRFI1
855,ERBB3
856,CBLN2
857,CCDC73
858,SFN
859,B2M
860,AKAP13
861,TSC22D1
862,PRR11
863,SFTPD
864,AC124067.2
865,PKMYT1
866,ROBO1
867,RGS16
868,AC020917.4
869,RUNX1
870,IGSF9
871,ZNF703
872,AC106818.1
