,0
1633,SLC7A5
1634,VCX3A
1635,CAPS2
1636,SUSD3
1637,KLF5
1638,C1orf21
1639,CNTRL
1640,TLCD2
1641,GUCY1A2
1642,ANGPTL6
1643,SEPT14
1644,AC010655.1
1645,SCIN
1646,AL512274.1
1647,KRT18P10
1648,GRB7
1649,ELOCP19
1650,AC092569.1
1651,ABCA10
1652,AC037198.2
1653,AC019155.3
1654,PIN1P1
1655,SEMA6A
1656,SMARCC2
1657,PEAR1
1658,ARL6IP1
1659,CDT1
1660,TMEM253
1661,FAM3B
1662,KRT7
1663,PGLYRP2
1664,EFNB2
1665,RAB20
1666,AGR2
1667,HOXB5
1668,PFKFB3
1669,SPATA45
1670,ZNF629
1671,RPL23
1672,EFCAB5
1673,LMOD1
1674,DSEL
1675,MT-ND5
1676,DLX3
1677,BICDL1
1678,MAGEB2
1679,LINC00620
1680,PLCE1
1681,UNC13A
1682,TP63
1683,AL133227.1
1684,COL4A6
1685,GPRASP1
1686,MCM2
1687,ARGLU1
1688,EGF
1689,CHRM1
1690,MPHOSPH10
1691,LINC00458
1692,IFIT1
1693,TOP2A
1694,AC092953.1
1695,ETNK2
1696,TFRC
1697,MBNL1
1698,AC026250.1
1699,FLNA
1700,IFIT3
1701,AL033527.5
1702,OLR1
1703,FHL2
1704,MTCO3P12
1705,KIF15
1706,TMEM132D-AS1
1707,ACSL1
1708,LDLR
1709,TMTC1
1710,AC011825.4
1711,CCDC114
1712,NEAT1
1713,AC006480.2
1714,CXCR4
1715,DYNLL1
1716,KRT6A
1717,ATP2A3
1718,BX255925.1
1719,AC026691.1
1720,CELF1
1721,CCNG2
1722,ENPP1
1723,C10orf10
1724,ZNF57
1725,FAM104A
1726,SEC14L2
1727,DTX3L
1728,EGFLAM
1729,GMPR
1730,PADI3
1731,HOMER1
1732,AC107016.1
1733,FXYD3
1734,CRIM1
1735,ZNF257
1736,MYO1H
1737,AL589843.1
1738,WWC3
1739,ZNF350-AS1
1740,ATAD2
1741,ZNF793
1742,EXO1
1743,OAS3
1744,FKBP5
1745,IFI44
1746,NKTR
1747,C5orf47
1748,AL512649.1
1749,SLC31A2
1750,AC051619.5
1751,HMMR
1752,NIPAL4
1753,SPATA1
1754,SRD5A1
1755,COL6A2
1756,HNRNPH2
1757,AC021242.3
1758,GREM2
1759,AC120498.4
1760,CST3
1761,TUBB2A
1762,H1F0
1763,E2F8
1764,CASTOR1
1765,BTG2
1766,POU2F1
1767,GNG13
1768,TUBA1B
1769,ALDH3B2
1770,RAB11FIP1
1771,TBX1
1772,FAM110C
1773,EGLN3
1774,CAPN15
1775,NKPD1
1776,KNSTRN
1777,CYP4X1
1778,RBM11
1779,ABCG1
1780,SNAI1
1781,EFHD1
1782,MT-CO1
1783,C14orf132
1784,BTG1
1785,FOXN3
1786,ZNF341-AS1
1787,ARID5B
1788,GSTO1
1789,IRX3
1790,CCDC18-AS1
1791,FBXO5
1792,PRKAB2
1793,ESR1
1794,EFEMP1
1795,GAS2L3
1796,ZNF106
1797,LINC02322
1798,KLF7
1799,CEBPB
1800,MGEA5
1801,MT-RNR2
1802,LURAP1L-AS1
1803,PCDHGB7
1804,AC093515.1
1805,UBA52P7
1806,COL6A1
1807,CYP2B7P
1808,HIST1H4E
1809,APOE
1810,SLC19A3
1811,CLIC3
1812,DAPP1
1813,RPSAP49
1814,FAM171A2
1815,TPX2
1816,IGHA1
1817,SLBP
1818,HPSE2
1819,RECQL4
1820,TBX18
1821,SESN2
1822,VTCN1
1823,CDCA5
1824,AP001269.4
1825,TRPV6
1826,JADE1
1827,FTX
1828,AL596244.1
1829,HPGD
1830,PTCH1
1831,AP005136.2
1832,SDCBP
1833,THBS1
1834,LDLRAD4
1835,DLX6-AS1
1836,HMGCS1
1837,AC009268.2
1838,WEE1
1839,MAF
1840,CLEC3A
1841,KLHL42
1842,SCN1B
1843,DDI2
1844,ST3GAL4
1845,HSPA2
1846,LAMTOR5P1
1847,TFF1
1848,AC092384.1
1849,GHR
1850,TRIM29
1851,MCM3AP
1852,MBOAT2
1853,SH2D3C
1854,KLLN
1855,SEMA3C
1856,FAS
1857,EVC
1858,NEURL1B
1859,FYB2
1860,SGO2
1861,TRPV4
1862,HOXB4
1863,TPBG
1864,CUX2
1865,RARRES3
1866,MGC16275
1867,KIAA1217
1868,AC008667.1
1869,TIPARP
1870,LINC01962
1871,GEN1
1872,AC092574.2
1873,OLFML3
1874,RACGAP1
1875,MT-ND2
1876,SMC4
1877,AC137630.3
1878,PLEKHD1
1879,DEPDC1B
1880,TNS2
1881,AC005410.1
1882,ARHGAP11A
1883,AP003068.2
1884,HIST3H2A
1885,TNFRSF12A
1886,AL355312.3
1887,PROCR
1888,FZD4
1889,SLC38A1
1890,AC010654.1
1891,PDK4
1892,TTC39B
1893,TTK
1894,IER5L
1895,CTDSPL
1896,SIGLEC6
1897,ZBTB10
1898,LDHB
1899,TUG1
1900,DSCAM-AS1
1901,SPDEF
1902,AL157400.2
1903,TBC1D2
1904,PIEZO1
1905,INHBB
1906,AP5B1
1907,SOAT2
1908,AC008686.1
1909,CHI3L1
1910,MIAT
1911,WNT11
1912,LINC01554
1913,AC006001.2
1914,NOG
1915,LINC01647
1916,CALCB
1917,CTGF
1918,FSD2
1919,AL929472.2
1920,AC008759.3
1921,CDK11B
1922,SH2D4B
1923,STEAP4
1924,AC020908.1
1925,SCN4A
1926,AC010326.3
1927,AC010476.1
1928,WWTR1-AS1
1929,HDAC11-AS1
1930,CHRDL2
1931,POT1-AS1
1932,IP6K3
1933,SLC6A3
1934,PSMB10
1935,LINC01943
1936,SGPP2
1937,AC008738.3
1938,EPHA7
1939,IGFBP1
1940,TUBA3GP
1941,AC005224.3
1942,SLC1A3
1943,BMP7
1944,COL27A1
1945,COL4A2
1946,TRMT112P3
1947,LINC00619
1948,CILP
1949,FAM92A1P1
1950,CA4
1951,AP000320.1
1952,OR2AG2
1953,FBLN1
1954,RRH
1955,SPACA4
1956,TUBA3D
1957,LAMC3
1958,ALPL
1959,HNRNPA1P27
1960,AC020922.3
1961,AC011899.2
1962,TRIM22
1963,AL357552.2
1964,FAM83A
1965,LINC00517
1966,AC021016.2
1967,CALB1
1968,RASD1
1969,PLEKHS1
1970,AC019226.1
1971,RGL1
1972,AC008914.1
1973,AC091564.1
1974,TGM7
1975,LINC02266
1976,AC087045.3
1977,RPL3P5
1978,Z93241.1
1979,TGM5
1980,TMPRSS11E
1981,KCNN3
1982,TPPP
1983,CD248
1984,NNMT
1985,AC082651.3
1986,ANKRD35
1987,OLAH
1988,LINC00689
1989,RP1L1
1990,JPH4
1991,KRT73
1992,TRPC5OS
1993,CPB2
1994,LCE3D
1995,SLC10A1
1996,PLXNA2
1997,PCDH17
1998,AC004264.2
1999,CHI3L2
