,gene,00 vs 01_lfc_mean,00 vs 02_lfc_mean,00 vs 04_lfc_mean,00 vs 08_lfc_mean,00 vs 18_lfc_mean,01 vs 02_lfc_mean,01 vs 04_lfc_mean,01 vs 08_lfc_mean,01 vs 18_lfc_mean,02 vs 04_lfc_mean,02 vs 08_lfc_mean,02 vs 18_lfc_mean,04 vs 08_lfc_mean,04 vs 18_lfc_mean,08 vs 18_lfc_mean,00 vs 01_lfc_median,00 vs 02_lfc_median,00 vs 04_lfc_median,00 vs 08_lfc_median,00 vs 18_lfc_median,01 vs 02_lfc_median,01 vs 04_lfc_median,01 vs 08_lfc_median,01 vs 18_lfc_median,02 vs 04_lfc_median,02 vs 08_lfc_median,02 vs 18_lfc_median,04 vs 08_lfc_median,04 vs 18_lfc_median,08 vs 18_lfc_median,00 vs 01_lfc_std,00 vs 02_lfc_std,00 vs 04_lfc_std,00 vs 08_lfc_std,00 vs 18_lfc_std,01 vs 02_lfc_std,01 vs 04_lfc_std,01 vs 08_lfc_std,01 vs 18_lfc_std,02 vs 04_lfc_std,02 vs 08_lfc_std,02 vs 18_lfc_std,04 vs 08_lfc_std,04 vs 18_lfc_std,08 vs 18_lfc_std
AC073352.1,,0.40037936,0.5854805,0.9245291,1.1186217,1.6546615,0.22876316,0.5704624,0.7327653,1.2311726,0.31994003,0.51254326,0.9965384,0.22285244,0.7107383,0.497393,0.3919506,0.59659624,0.91860247,1.1140289,1.6215935,0.2274065,0.54885006,0.730031,1.2007828,0.328866,0.50495625,0.9778619,0.2225647,0.7046795,0.5049534,0.98804426,0.9486219,0.9738479,1.059411,1.0241425,1.0145444,1.0594956,1.1072385,1.0766418,1.0095476,1.0956852,1.0539458,1.0972039,1.0574199,1.1307994
ZNF362,,0.55358183,0.79685944,1.3131355,1.4563435,1.5030097,0.27057308,0.80154186,0.8920132,0.94415945,0.5109247,0.66433084,0.65750366,0.14930367,0.1735352,0.03376964,0.5928545,0.84113693,1.3383856,1.4725132,1.5075188,0.25537014,0.7925377,0.88851833,0.90383816,0.5509176,0.63427067,0.6021528,0.16083622,0.15172958,0.0079603195,1.0497001,1.0342989,1.1113293,1.2114093,1.1441184,1.0633096,1.1579137,1.2141498,1.1942824,1.1137182,1.2053558,1.1699401,1.2531055,1.2119106,1.2901909
TYMS,,0.04784742,0.046267346,0.10984498,0.40185687,0.362894,-0.008654482,0.053355884,0.32984352,0.31914008,0.05017123,0.33467758,0.3096853,0.2881565,0.26573756,-0.06818076,0.021604061,0.0639267,0.06541252,0.3259468,0.34698057,0.02963829,0.026780605,0.28486204,0.30444813,0.0065174103,0.25512457,0.28676462,0.25053072,0.2671013,-0.024499893,0.9049132,0.8080714,0.90645313,0.949775,0.9052472,0.8729201,0.9314821,0.9980604,0.9465603,0.88131166,0.9281024,0.8914915,1.0126948,0.9831128,1.0372658
PMM2,,-0.56448233,-0.40852663,-0.7361378,-0.17356376,0.8492667,0.1730337,-0.24009739,0.34289345,1.3886069,-0.3574876,0.20842707,1.2633038,0.6126461,1.5946805,0.9911236,-0.6436758,-0.4505663,-0.80333424,-0.24017239,0.83870983,0.18330097,-0.25940943,0.33380032,1.408145,-0.37495518,0.20791054,1.3023243,0.6132002,1.6327448,1.0403156,1.764483,1.6430731,1.7716935,1.7959617,1.891974,1.6035671,1.7429231,1.755731,1.8293248,1.6318944,1.6348374,1.7410101,1.7593207,1.869327,1.893355
AC108120.1,,0.1195264,0.04273533,0.4680263,0.9548433,1.4935999,-0.07037217,0.39185035,0.80598956,1.3702978,0.42465103,0.9063199,1.3751187,0.50967187,1.0218592,0.4864632,0.14198971,0.026353836,0.4618454,0.9293957,1.4208593,-0.12992859,0.37728786,0.7692547,1.2699213,0.4445362,0.9228716,1.335618,0.50521946,0.94108295,0.472023,1.426128,1.4359763,1.5475384,1.7105772,1.6783016,1.517468,1.6288255,1.7781767,1.7572981,1.6261514,1.7824473,1.7530177,1.8686397,1.8399037,1.963761
AARD,,-0.3724027,-0.4480998,-0.21086071,0.57255554,1.4725041,-0.07712097,0.15188232,0.91678655,1.7748367,0.22483508,1.008791,1.8724889,0.8238227,1.6635108,0.8447657,-0.3709755,-0.4793377,-0.27494144,0.53476906,1.4542398,-0.10060501,0.10599899,0.8765173,1.747097,0.18371296,0.9907675,1.8588142,0.81491137,1.639164,0.8890085,0.9087863,0.9534025,1.0933661,1.1468312,1.2638856,0.9243607,1.0461911,1.1362401,1.2727666,1.0714724,1.1466193,1.2397332,1.2338291,1.3494158,1.4133357
AL138724.1,,0.05722975,-0.19761123,-0.01274037,0.19738719,0.28357136,-0.26292402,-0.036578897,0.15092225,0.19145292,0.18753555,0.39650849,0.43727282,0.2170017,0.27324703,0.049647506,0.057198048,-0.19040918,-0.006503105,0.19076824,0.30154324,-0.23892689,-0.036441326,0.1323986,0.20290709,0.18036127,0.38477182,0.43861914,0.21634912,0.26711416,0.05690813,0.7929652,0.7433284,0.828569,0.8268334,0.7480268,0.7894006,0.87600905,0.8619717,0.80420625,0.8410871,0.8384742,0.7676516,0.9288556,0.8606882,0.86032015
ZNF213,,0.10148467,0.23895818,0.3442224,0.36523232,0.27904278,0.15757851,0.25203857,0.25014335,0.19226125,0.09599972,0.11519514,0.034734957,0.02064062,-0.051513277,-0.07557619,0.11707544,0.24096918,0.35322618,0.36950684,0.26398516,0.15392542,0.24611092,0.24890995,0.17917967,0.09914255,0.11044264,0.01889515,0.015294075,-0.060478687,-0.073737144,0.56608045,0.5386366,0.56686157,0.5533253,0.544042,0.5862563,0.61314696,0.58584976,0.5841845,0.57781553,0.5671716,0.57943416,0.5890899,0.58828384,0.57931525
BMS1P5,,-0.07215944,-0.25391766,-0.20211756,0.049802136,0.60544944,-0.1929802,-0.12876202,0.13084586,0.66218597,0.05886137,0.32232133,0.8647542,0.28436637,0.80025846,0.53817904,-0.067331314,-0.24494648,-0.1854496,0.06489277,0.6156235,-0.20214844,-0.11888313,0.11597538,0.66677284,0.08810711,0.31794643,0.86815834,0.25359726,0.7997837,0.55420494,1.2714183,1.1384605,1.2709622,1.2235231,1.2617149,1.240013,1.3387207,1.270003,1.3568779,1.2342451,1.2182412,1.2580721,1.2958935,1.3561419,1.3486848
GPRIN3,,-0.45982596,-0.4403497,-0.37148002,-0.07417898,0.43743926,-0.007921189,0.0008018356,0.3447481,0.8224417,0.044156596,0.3912678,0.9076137,0.32147458,0.8194839,0.5194968,-0.48572636,-0.45443535,-0.4188037,-0.17486382,0.43811417,0.011444569,0.020318985,0.32816887,0.8930235,0.03297329,0.31569958,0.8889122,0.2435627,0.8637285,0.5931158,2.052534,1.9014461,2.0402944,2.1116853,2.01628,2.0537977,2.1728363,2.1791937,2.2160022,2.0031326,2.0805016,2.0126595,2.2102787,2.1203558,2.1865854
DHCR24,,0.0027579824,0.03390468,0.0028743853,-0.008709931,-0.050861783,0.032129075,-0.009838977,-0.0066905604,-0.046256974,-0.035461653,-0.044380497,-0.07761064,-0.010120415,-0.049547896,-0.04059398,-0.013561249,0.028503895,-0.009478569,-0.02539444,-0.0699563,0.045651913,-0.009882927,-0.011929512,-0.045564175,-0.043832302,-0.05220318,-0.08693457,-0.016906738,-0.05351591,-0.03875637,0.25085163,0.22966841,0.24967672,0.25952676,0.2523007,0.2540055,0.26897198,0.27909988,0.27602625,0.2477101,0.26904407,0.25640413,0.2856266,0.27604198,0.28479463
PAQR4,,0.1942929,0.3161591,0.44228864,0.5842641,0.43067762,0.10946284,0.22039118,0.3873577,0.25028053,0.12010508,0.27376333,0.14792834,0.14306648,0.012816153,-0.16183169,0.20277119,0.33560133,0.45428705,0.5965543,0.45849037,0.09787941,0.21021748,0.39704514,0.25224638,0.11177683,0.29201555,0.14372301,0.15647268,0.023278236,-0.16706371,0.70393836,0.6372851,0.7168421,0.6995062,0.6875497,0.689164,0.75440705,0.7345401,0.74702513,0.69835,0.6952461,0.6901072,0.75924987,0.75217766,0.74153817
AC005224.1,,-0.33340988,-0.48154345,-0.7413583,-1.2485982,-1.1733093,-0.14583647,-0.4183856,-0.9317083,-0.85648584,-0.24010235,-0.69008416,-0.65258616,-0.4940438,-0.41880575,0.123671986,-0.29026222,-0.46288586,-0.71428967,-1.3030515,-1.2182512,-0.18053341,-0.44101048,-0.96211433,-0.9012327,-0.19681644,-0.76204205,-0.6932063,-0.5355778,-0.44760418,0.116672516,1.7268934,1.5448098,1.5976771,1.6948763,1.5895389,1.6660115,1.7271142,1.7751176,1.7095557,1.5508993,1.6647547,1.5500675,1.6907058,1.6063024,1.6822052
DNAJC22,,0.06302623,0.26335588,0.36553612,0.5214556,0.6754997,0.20617355,0.2821656,0.47056904,0.5981269,0.08954231,0.25348514,0.4047586,0.16630267,0.30013397,0.13766307,0.06888485,0.2648716,0.35859394,0.5358949,0.7000451,0.19952106,0.2620473,0.48377943,0.60137415,0.07184982,0.2526312,0.40475655,0.17697716,0.31525135,0.13728523,0.56699336,0.5415692,0.5455613,0.57437396,0.5788244,0.58025694,0.5793315,0.6201393,0.61851096,0.5655143,0.6079841,0.6046401,0.60985106,0.61078453,0.6473199
SLC12A9,,0.16225448,0.25451213,0.29675528,0.22022402,0.09368704,0.08331628,0.10630439,0.07807765,-0.07034505,0.040222224,-0.005385118,-0.13521764,-0.067645185,-0.1996047,-0.1237353,0.17819929,0.27123213,0.28231144,0.23096275,0.1098609,0.09725809,0.10088539,0.063970566,-0.09090328,0.009119034,-0.003227234,-0.14467001,-0.058585644,-0.18393993,-0.13114691,0.8331387,0.7561799,0.8430381,0.83850867,0.8331394,0.821035,0.8989444,0.88474643,0.9039018,0.83586603,0.85308444,0.8569329,0.9145109,0.9241015,0.93280494
CACNA1B,,-0.04951525,0.07135158,0.25628966,0.26712906,0.27239373,0.109331876,0.27194926,0.2981266,0.2739008,0.17170683,0.2080519,0.17647813,0.021934556,-0.0020287186,0.019138288,-0.051498413,0.073393345,0.23930645,0.24931717,0.26461697,0.10515976,0.26947117,0.2834239,0.276165,0.1739626,0.2001009,0.1659646,0.0116381645,0.002409935,0.03289032,1.0318863,0.95286036,0.94431436,1.0475539,0.9742391,1.024278,1.0077113,1.0916033,1.0600845,0.92539275,1.0082208,0.9573894,1.0158589,0.9682756,1.0480864
AC022532.1,,-0.5749174,-0.51108676,-0.9977541,-1.175339,-1.4798079,0.046556413,-0.5107814,-0.69255674,-0.94659865,-0.5193611,-0.67844284,-0.95163435,-0.18490198,-0.49022284,-0.28786626,-0.64311504,-0.49867058,-1.0305223,-1.2594604,-1.5287018,0.09529972,-0.5301962,-0.7302561,-0.9373355,-0.56118727,-0.77742577,-0.9959364,-0.22858572,-0.44369078,-0.26379204,1.9022464,1.8408887,1.792977,1.8676596,1.879406,1.9368087,1.9184088,1.9596294,1.9616952,1.8243704,1.8686643,1.8652598,1.8297923,1.8366588,1.8507426
SOCS7,,-0.08116802,0.12314065,0.00850995,0.050503183,-0.0070744036,0.21193208,0.05426229,0.11700055,0.06932574,-0.13759917,-0.102462925,-0.13093027,0.04672895,-0.024136852,-0.05837636,-0.091692924,0.11086702,0.01144743,0.04516077,0.023295403,0.21826649,0.044289112,0.12729597,0.072113514,-0.15268469,-0.07571602,-0.119977474,0.0567317,-0.014371395,-0.059832573,0.78146785,0.744034,0.7492507,0.79220814,0.82176805,0.76055783,0.77419955,0.81265277,0.8314212,0.75034916,0.7781157,0.80115855,0.8042258,0.81162995,0.855266
KLLN,,-0.10812822,-0.114978805,-0.05894806,0.09765066,0.12060744,-0.018710459,0.024817657,0.16591987,0.23746064,0.05841904,0.22260393,0.2822789,0.16536328,0.21011065,0.05619161,-0.09777784,-0.105446815,-0.038444042,0.096280575,0.13247871,-0.028957844,0.017907143,0.16052437,0.24130535,0.07750511,0.21594095,0.29496193,0.15090132,0.20610046,0.07174921,0.9605749,0.87161386,0.9514756,0.9315312,0.95450026,0.9199953,0.9700479,0.9613361,0.9874719,0.8980273,0.8646501,0.90764916,0.93475777,0.98784864,0.9712768
C9orf139,,0.059260216,-0.09640839,0.03119253,-0.106507614,-0.6555684,-0.18473668,-0.043548997,-0.2241551,-0.69621575,0.14120223,0.036636993,-0.4825903,-0.15116711,-0.62441164,-0.49862763,0.029762268,-0.11069679,0.04154682,-0.10879707,-0.6574335,-0.1731329,-0.041236877,-0.23761272,-0.6846714,0.1470089,0.036997795,-0.47287655,-0.19150162,-0.62685394,-0.48444557,1.2316966,1.1773816,1.2432721,1.2916378,1.2069447,1.2231079,1.2500374,1.3347855,1.2246808,1.2049109,1.2603976,1.1341709,1.3293568,1.2166086,1.2698114
CUTA,,0.24884138,0.15868446,0.38636336,0.34614393,0.37237307,-0.091276705,0.17412551,0.12654962,0.13393717,0.24002041,0.20229737,0.21513154,-0.04254712,-0.005043428,0.026596662,0.25592995,0.16712809,0.3774724,0.35151768,0.36263275,-0.089224815,0.16612673,0.13387775,0.12139034,0.2412281,0.21587181,0.19881296,-0.034754753,-0.02136898,0.013499737,0.74190605,0.7275516,0.74379003,0.7463879,0.7771673,0.75238335,0.77768844,0.7732925,0.79417044,0.76446867,0.7526577,0.77676624,0.76238036,0.7839631,0.7741502
ACVRL1,,-0.1744712,-0.21824783,-0.6884742,-1.3167924,-1.7042814,-0.023117082,-0.49842304,-1.1883434,-1.5266742,-0.48128194,-1.1023319,-1.5419736,-0.636588,-1.0665385,-0.3820737,-0.15025043,-0.22513485,-0.7211962,-1.3694363,-1.7440643,0.016706467,-0.5486164,-1.2188673,-1.5437641,-0.5267477,-1.1565495,-1.573864,-0.6441927,-1.0336866,-0.401515,1.6417646,1.5138485,1.5670533,1.494489,1.6058577,1.5812945,1.6221961,1.5534624,1.6646805,1.5193607,1.4460161,1.5467473,1.4880182,1.6133537,1.5557837
CENPU,,0.034052696,-0.004365853,0.06461938,0.29200804,0.24833833,-0.04872367,0.025464151,0.24017438,0.21039514,0.055575147,0.27583987,0.24242993,0.22339743,0.192594,-0.07016407,0.0025281906,0.017642975,0.02190876,0.23400545,0.2128954,-0.011372566,0.003042221,0.21066141,0.20049906,0.012421131,0.20339966,0.20926857,0.19532919,0.19580746,-0.032566547,0.8670578,0.76618975,0.8570624,0.8798528,0.832979,0.8250378,0.8799032,0.92605776,0.87696725,0.8263387,0.85510004,0.81877273,0.93809575,0.91161126,0.9493059
GAB1,,0.13231921,0.31566823,0.36309767,0.26948205,0.11384988,0.19010518,0.21391541,0.1298672,-0.021966496,0.03237555,-0.05732578,-0.17411025,-0.093863204,-0.23855625,-0.13269256,0.13678265,0.3180561,0.36555147,0.26690674,0.13056517,0.18450785,0.20402575,0.12200594,-0.021826267,0.006495476,-0.061481,-0.17923737,-0.106957436,-0.21847582,-0.13641882,0.8205732,0.76370233,0.805943,0.7997061,0.7980508,0.8198853,0.85050064,0.8439803,0.844451,0.8210078,0.7971289,0.8005851,0.8449545,0.83800495,0.84944236
AC092634.3,,-0.72730845,-1.0802892,-1.2459518,-0.9704748,-0.4176816,-0.3851584,-0.55192864,-0.2807508,0.26880914,-0.12078611,0.20966275,0.7258005,0.3062435,0.8490437,0.56044877,-0.74640656,-1.046504,-1.2796555,-1.0133619,-0.43173313,-0.38240528,-0.5488653,-0.3255167,0.27400875,-0.1182251,0.1684618,0.6996803,0.28936958,0.8689308,0.58602047,1.6845232,1.5738887,1.6024586,1.6685084,1.5753266,1.689889,1.7137585,1.7593547,1.7521298,1.5961527,1.6750461,1.6083771,1.6970493,1.6534971,1.7189264
MICB,,0.18022984,0.41315418,0.61026186,0.8223046,0.77868515,0.22360195,0.39326546,0.6396092,0.60393625,0.18844497,0.4118826,0.39929053,0.21839172,0.18921421,-0.03782376,0.18974829,0.42104435,0.61353254,0.8439579,0.8011546,0.23018456,0.39896107,0.65465975,0.6060486,0.17556953,0.43272686,0.40065575,0.23012209,0.20740509,-0.034885883,0.5139971,0.4895442,0.5524328,0.565363,0.60778654,0.549293,0.6035585,0.6162261,0.66737807,0.5782642,0.60580844,0.6481438,0.651934,0.6980989,0.7195137
HPCAL1,,-0.027970249,-0.15296328,-0.3068967,-0.5841187,-0.9591467,-0.14127824,-0.2849092,-0.5548776,-0.93052745,-0.1499948,-0.414135,-0.79237914,-0.29007098,-0.6575028,-0.36632463,-0.032478333,-0.14849997,-0.315063,-0.6018505,-0.97376204,-0.13027477,-0.28787518,-0.5699644,-0.92807436,-0.1705389,-0.43846893,-0.8035593,-0.29760885,-0.6551118,-0.3813038,0.4298681,0.40068904,0.46784717,0.523147,0.54546684,0.45299968,0.51342624,0.5383653,0.58108795,0.48683622,0.53915805,0.57232684,0.58633405,0.60806954,0.65651244
HCST,,0.3011627,-0.09502529,0.2799008,0.19895591,0.4911297,-0.40362054,0.07200191,-0.06748683,0.20481323,0.3948261,0.31133622,0.5429725,-0.0753891,0.2071957,0.259158,0.25938225,-0.13458347,0.20862293,0.0835371,0.34551048,-0.38968086,0.070446014,-0.10848904,0.14296341,0.34750938,0.21314907,0.43554497,-0.12962818,0.1311636,0.25649643,1.7993717,1.7905202,1.8182957,1.9563812,1.9665669,1.9092908,1.9532073,2.0768852,2.0581794,1.9342074,2.055765,2.0341291,2.0707233,2.059403,2.153621
BUB1B,,0.02248685,0.028975533,0.074287735,0.39194846,0.38670585,0.006652635,0.05343781,0.3433586,0.36445376,0.017655123,0.30632815,0.3154492,0.31145236,0.3039939,-0.05164803,-0.00014066696,0.038583755,0.028479576,0.3140912,0.3657899,0.05629587,0.010783672,0.32181263,0.36641264,-0.03559065,0.22175169,0.28776455,0.3026724,0.3020234,-0.02618742,1.1680229,1.052029,1.1667321,1.2469926,1.1855114,1.1313236,1.2088078,1.3100371,1.245928,1.1431588,1.2286161,1.1703589,1.3264165,1.281836,1.3591654
KDM7A,,-0.5121187,-0.7003054,-1.0122586,-1.077995,-0.77890354,-0.18286847,-0.4948628,-0.58713114,-0.2965344,-0.3142563,-0.39437068,-0.10616731,-0.058329936,0.20702651,0.29911524,-0.53197765,-0.7174115,-1.0326772,-1.093298,-0.80856514,-0.15557289,-0.5019798,-0.5913911,-0.29309702,-0.3374753,-0.42402554,-0.09796524,-0.07030201,0.20868635,0.29106236,1.0477277,0.97213054,1.0395802,1.0286554,1.0556211,0.96263814,1.0316147,0.9955792,1.0342261,0.955448,0.9421465,0.9499078,0.9895021,1.0330402,1.0089241
AC006441.3,,0.11740105,-0.012165053,0.23746872,0.28742084,0.19732258,-0.16152678,0.10969524,0.14543803,0.08654462,0.25732264,0.330648,0.24279107,0.053504065,-0.004592057,-0.07572044,0.12210369,0.0001487732,0.26952744,0.2654171,0.18480301,-0.15790749,0.08740425,0.10315323,0.061300278,0.268466,0.3261099,0.24185658,0.046650887,-0.044365883,-0.079138756,0.96403766,0.9250734,0.99865234,1.0186062,1.023047,0.93301547,0.97570115,1.0299703,1.025512,0.972718,1.0007396,0.9833356,1.0813099,1.0481362,1.0823092
