,gene,00 vs 01_lfc_mean,00 vs 02_lfc_mean,00 vs 04_lfc_mean,00 vs 08_lfc_mean,00 vs 18_lfc_mean,01 vs 02_lfc_mean,01 vs 04_lfc_mean,01 vs 08_lfc_mean,01 vs 18_lfc_mean,02 vs 04_lfc_mean,02 vs 08_lfc_mean,02 vs 18_lfc_mean,04 vs 08_lfc_mean,04 vs 18_lfc_mean,08 vs 18_lfc_mean,00 vs 01_lfc_median,00 vs 02_lfc_median,00 vs 04_lfc_median,00 vs 08_lfc_median,00 vs 18_lfc_median,01 vs 02_lfc_median,01 vs 04_lfc_median,01 vs 08_lfc_median,01 vs 18_lfc_median,02 vs 04_lfc_median,02 vs 08_lfc_median,02 vs 18_lfc_median,04 vs 08_lfc_median,04 vs 18_lfc_median,08 vs 18_lfc_median,00 vs 01_lfc_std,00 vs 02_lfc_std,00 vs 04_lfc_std,00 vs 08_lfc_std,00 vs 18_lfc_std,01 vs 02_lfc_std,01 vs 04_lfc_std,01 vs 08_lfc_std,01 vs 18_lfc_std,02 vs 04_lfc_std,02 vs 08_lfc_std,02 vs 18_lfc_std,04 vs 08_lfc_std,04 vs 18_lfc_std,08 vs 18_lfc_std
CAHM,,0.2019014,0.35869464,0.52011824,0.49028862,0.32823044,0.14977281,0.2739479,0.26972622,0.1188756,0.14871848,0.15185976,-0.0071823616,-0.015149248,-0.16874883,-0.12687288,0.185215,0.35750103,0.5371852,0.43818235,0.3144493,0.15412998,0.3103528,0.2686534,0.12895203,0.1490879,0.13574076,-0.01337719,-0.031885147,-0.17937756,-0.14324379,1.1722585,1.0195535,1.1231815,1.1287743,1.0583423,1.1910176,1.2395034,1.2499712,1.2338609,1.1249901,1.1349142,1.1059554,1.2347614,1.2070761,1.215989
MAP3K20,,-0.33130637,-0.3647754,-0.49425304,-0.37761778,-0.33642536,-0.038618334,-0.18002418,-0.07604023,-0.02851001,-0.14206745,-0.037243433,0.0366966,0.11076803,0.15533552,0.03324446,-0.34090757,-0.3868804,-0.52148676,-0.4218812,-0.36068678,-0.0379467,-0.19367313,-0.085762024,-0.033890724,-0.17894793,-0.07661152,0.002910614,0.09361887,0.1621027,0.05273819,0.81720954,0.7757799,0.83557034,0.8453416,0.8434667,0.7726454,0.82690376,0.8305821,0.84474283,0.78881913,0.8036944,0.7909147,0.841594,0.8330323,0.84594077
PLXDC2,,-0.20699783,-0.09048626,-0.21348561,-0.30226716,-0.20768279,0.11408971,-0.06339973,-0.13709302,-0.008829245,-0.137874,-0.18593696,-0.11021726,-0.062321886,0.034525074,0.115873575,-0.24124432,-0.10246372,-0.22693253,-0.32926083,-0.25055265,0.13294744,-0.050955772,-0.13879967,0.013196945,-0.14394999,-0.20974874,-0.15524673,-0.065202236,0.026763916,0.11529827,1.1227641,1.0457523,1.0672628,1.1436596,1.0824318,1.0850885,1.0948536,1.1735843,1.1256406,1.0051173,1.0753152,1.0097668,1.0658157,1.0748831,1.1009234
NECTIN4,,0.061919495,0.16405988,0.13064958,-0.0140579175,-0.111036435,0.111578494,0.064607926,-0.07122108,-0.15973087,-0.036406063,-0.18139791,-0.26552656,-0.1455947,-0.23969726,-0.07937953,0.078589916,0.16445875,0.14963007,0.0020589828,-0.09756327,0.101968765,0.0593462,-0.067902565,-0.16069269,-0.03039217,-0.16958523,-0.26195526,-0.14603949,-0.23717928,-0.08685589,0.46390632,0.4228098,0.47373164,0.4553094,0.4480672,0.44956878,0.47673675,0.47821862,0.4664691,0.4646845,0.44952896,0.44282517,0.49845502,0.49178082,0.4893743
CYP4F22,,-0.12116322,-0.36688,-0.57280564,-1.113496,-1.8774558,-0.2830754,-0.45132574,-0.99964774,-1.7795248,-0.21365918,-0.7441536,-1.52501,-0.5764796,-1.3403726,-0.76990086,-0.13598204,-0.37441015,-0.60501957,-1.1779537,-1.9775786,-0.25204897,-0.46611738,-1.0402756,-1.8321929,-0.25451946,-0.78417206,-1.6062431,-0.58350086,-1.3721037,-0.8090935,0.86110836,0.7982705,0.9294088,1.0016237,1.0562268,0.9014199,0.9796634,1.0562901,1.123122,0.9529089,1.0110191,1.062223,1.1139271,1.1796502,1.2391922
LINC01569,,0.039698955,-0.038606808,0.038441423,-0.047378853,0.055089075,-0.079028055,0.009704048,-0.08099343,0.012704402,0.08154744,0.014779573,0.101095274,-0.081410386,0.023772333,0.11646885,0.048309326,-0.040044308,0.027150154,-0.056699753,0.04918337,-0.10105944,-0.004662037,-0.08603144,0.004779339,0.07218933,-0.0015745163,0.10324478,-0.078241825,0.017411709,0.11607838,0.57808614,0.54488355,0.5781784,0.5975723,0.59110653,0.5925757,0.6106212,0.62129515,0.6157545,0.58541906,0.6041386,0.5865478,0.6176696,0.60616446,0.62712157
MCM8,,-0.18201546,-0.10657667,-0.18457527,0.0713408,0.12353045,0.067249924,-0.03759413,0.2201628,0.29751533,-0.0945115,0.16008446,0.24293326,0.25707403,0.32057452,0.038136292,-0.15790176,-0.0993166,-0.20143509,0.058884144,0.12252283,0.06918812,-0.062427998,0.23592281,0.29659033,-0.11675787,0.1425767,0.253304,0.27518702,0.346622,0.03168392,0.7575087,0.7194867,0.76694924,0.78513026,0.79355377,0.74221593,0.77757174,0.8062697,0.8011346,0.74081147,0.76694393,0.76478297,0.791566,0.7993261,0.8163816
FAM109B,,-0.024424335,-0.034807146,0.01400433,0.15553361,0.14071977,-0.020477047,0.023407912,0.16648373,0.15972506,0.04688933,0.19339864,0.19486186,0.1416778,0.13464564,-0.023814654,-0.019350052,-0.02240038,0.014458656,0.15413141,0.15300131,-0.012254238,0.021535397,0.16952038,0.16484308,0.042803764,0.17399263,0.19580746,0.13675213,0.13892984,-0.015055656,0.39630535,0.3749093,0.40665147,0.4330817,0.43186775,0.4362401,0.45397958,0.47473416,0.48758072,0.43498823,0.4583426,0.46404442,0.4812656,0.47974998,0.5043357
MSX2,,-0.133355,-0.2546129,-0.35651228,-0.41192788,-0.3925419,-0.11591808,-0.20875454,-0.28245208,-0.25717843,-0.09819778,-0.1571412,-0.14794494,-0.056041162,-0.034619037,0.017242081,-0.14664078,-0.2689042,-0.35667562,-0.43114567,-0.39804363,-0.11529875,-0.21092129,-0.29159498,-0.25601292,-0.093354225,-0.16330338,-0.14674139,-0.061030388,-0.048079967,0.016239643,0.30103454,0.29530486,0.3281964,0.35691413,0.3610885,0.3182081,0.34608257,0.375309,0.38584816,0.34419337,0.3743218,0.38693994,0.39869735,0.41676998,0.44212776
AC127024.8,,0.24109606,0.49516302,0.6670278,1.1644093,1.5776294,0.27216983,0.41556942,0.9122316,1.3161347,0.13553211,0.6271533,1.0240612,0.52726495,0.8668933,0.349777,0.25561237,0.50819016,0.7025442,1.1798153,1.5700169,0.28439713,0.43756294,0.91057205,1.3255558,0.11520386,0.61939144,0.98865795,0.5238676,0.85911465,0.3317356,1.3730806,1.2332134,1.272599,1.3769677,1.492649,1.369558,1.423027,1.486897,1.6389605,1.3088233,1.4305444,1.5380892,1.454286,1.569127,1.6962776
MPHOSPH8,,-0.018308278,0.02962038,-0.0068599638,-0.018586583,-0.088035494,0.044671524,-0.007537024,-0.010851848,-0.0769359,-0.048291255,-0.0523357,-0.10424662,-0.012043033,-0.07654102,-0.061883174,-0.02989626,0.034742832,-0.013348103,-0.01987791,-0.08868456,0.045090675,-0.0061569214,-0.011795998,-0.076627254,-0.060429573,-0.06893635,-0.104072094,-0.01749754,-0.070874214,-0.059150696,0.45566025,0.42285573,0.42222774,0.43138456,0.4328553,0.43568316,0.44533163,0.44405654,0.446463,0.40895984,0.40786982,0.41220137,0.4218639,0.41668162,0.4200918
KIF2C,,0.16524705,0.14901508,0.25823158,0.5367624,0.54548687,-0.008560933,0.12111132,0.35549656,0.37432167,0.08081648,0.32715088,0.32187846,0.26988518,0.26199335,-0.054443013,0.14214134,0.16168213,0.19686699,0.43328,0.5303168,0.036674976,0.08916378,0.31729126,0.3768053,0.019656181,0.2384162,0.30964994,0.21524,0.25930166,0.0019760132,1.3657035,1.2444401,1.3549708,1.4468547,1.3187511,1.3215199,1.3963937,1.5022142,1.3881844,1.331424,1.4145446,1.3162588,1.5176665,1.4370997,1.5271239
NR2F2,,-0.055429816,0.034142967,0.027799038,0.17052159,0.23734577,0.09620286,0.064546585,0.22421323,0.2938275,-0.013872211,0.12756778,0.22730249,0.15173246,0.2197416,0.06918777,-0.076667786,0.017755508,0.016394138,0.16504431,0.25359917,0.113780975,0.06694937,0.23620701,0.3051629,-0.031054497,0.13874531,0.23351336,0.16144371,0.23103762,0.07067919,0.5838895,0.54517835,0.5585689,0.58780956,0.62253535,0.58676875,0.60059303,0.6231703,0.660922,0.56726205,0.59563893,0.63071615,0.6156017,0.65530586,0.68417495
UBQLN2,,-0.025446525,0.10261574,0.054047912,0.10827348,0.059868615,0.12885424,0.054342125,0.13543463,0.079668164,-0.056491174,0.0008849453,-0.034470193,0.05999143,0.0010924061,-0.05295408,-0.042119026,0.10831165,0.044209003,0.10803747,0.050299168,0.1426611,0.051683903,0.13410378,0.07404661,-0.06856394,-0.009138584,-0.049307346,0.052513123,-0.014994144,-0.055229187,0.5294521,0.5130069,0.4981087,0.53137475,0.5376769,0.5667766,0.54853237,0.5823847,0.5839111,0.5332813,0.57300454,0.5757567,0.56801355,0.5696882,0.60340774
OSCAR,,-0.44395992,-0.60862285,-0.90193963,-1.1257771,-1.0937551,-0.16365163,-0.43546188,-0.71591824,-0.636984,-0.27512348,-0.52583903,-0.48280126,-0.22735174,-0.20490362,0.03949815,-0.44579506,-0.6291981,-0.894289,-1.1530104,-1.1447315,-0.15289688,-0.42950773,-0.7336073,-0.67647743,-0.29703617,-0.5494547,-0.5050163,-0.24015045,-0.20017052,0.0138988495,1.2237362,1.1431725,1.2052494,1.1305715,1.1458457,1.1955882,1.2296193,1.1399528,1.1860435,1.1718837,1.0967371,1.1079708,1.1345252,1.1630834,1.071638
TMPO-AS1,,-0.1298389,-0.22610605,-0.18859084,0.20439059,0.32875556,-0.105188355,-0.07551106,0.2938344,0.4420218,0.012199324,0.4038493,0.5127508,0.39815518,0.5220951,0.0847341,-0.15132856,-0.22961426,-0.23877048,0.11304617,0.25704813,-0.08190775,-0.0987339,0.26907587,0.41870165,-0.015474796,0.34453058,0.43726254,0.37687874,0.49285984,0.10315466,1.3668035,1.2572377,1.3830404,1.3927158,1.3663238,1.3343548,1.407039,1.4610213,1.4202012,1.3495935,1.3816316,1.3394314,1.4630301,1.4691248,1.5034637
WDR26,,-0.13848186,-0.1583638,-0.24885987,-0.330475,-0.35670978,-0.017751575,-0.11410852,-0.200273,-0.21659262,-0.0871081,-0.16797096,-0.18779467,-0.082552776,-0.103981346,-0.010449852,-0.14620638,-0.16148043,-0.25650787,-0.34234667,-0.37860203,-0.016955376,-0.11276007,-0.20517683,-0.2115817,-0.08459616,-0.1711421,-0.1928978,-0.08630562,-0.10715675,-0.016878605,0.38228065,0.35053244,0.36912,0.38047704,0.37080443,0.3589252,0.37779436,0.3831671,0.37683654,0.3536596,0.35979366,0.34608728,0.37665707,0.37587476,0.37277502
SYT12,,0.16709687,0.3169042,0.38799247,0.23480444,-0.06779994,0.14564802,0.20266537,0.07800795,-0.23393813,0.05956161,-0.081475146,-0.38019413,-0.16152155,-0.45884135,-0.3020216,0.15912056,0.33525467,0.39443254,0.23430443,-0.07446861,0.1527381,0.21435404,0.091771126,-0.25219536,0.04611683,-0.09848976,-0.38943243,-0.16215849,-0.46253347,-0.31128407,0.4741772,0.47039974,0.54186577,0.53301406,0.5218327,0.5333397,0.5956805,0.57961625,0.57774436,0.591375,0.5865343,0.57963085,0.63622504,0.6347012,0.6257217
PLEK2,,-0.25158682,-0.53879684,-0.6845696,-0.6140906,-0.51145124,-0.3068518,-0.43510106,-0.37403116,-0.26976642,-0.13831547,-0.059967548,0.02223747,0.07809409,0.17626972,0.076658756,-0.26070642,-0.5409255,-0.68839884,-0.6501522,-0.5344372,-0.32082176,-0.4208703,-0.39351416,-0.28222466,-0.12914276,-0.08514738,0.0049800873,0.07497692,0.14982271,0.0812192,0.73642164,0.7077402,0.7809013,0.7849495,0.7337462,0.7527683,0.7978617,0.82835114,0.76907504,0.8085907,0.80192584,0.7705241,0.8732818,0.8419455,0.86585736
NDUFB8,,0.30032596,0.22528645,0.45140016,0.37167448,0.3362427,-0.07496324,0.19244212,0.109613694,0.04903562,0.24193747,0.16418798,0.11809021,-0.08243011,-0.10862529,-0.038926106,0.3154831,0.24278402,0.4493456,0.39862633,0.3447132,-0.093476295,0.1848402,0.11729956,0.045941353,0.23813248,0.20003223,0.10353422,-0.06443977,-0.119865894,-0.051701546,0.8680023,0.8349561,0.891508,0.87932754,0.90952855,0.8561248,0.92740434,0.8948035,0.92560685,0.8919996,0.86383134,0.88414097,0.89532137,0.92903584,0.89857894
MNX1-AS2,,0.5483497,0.62496644,0.90690774,0.57490766,0.24231443,0.08699555,0.4101189,0.045025475,-0.33583048,0.2710224,-0.04689408,-0.47610536,-0.3445572,-0.7367717,-0.36843538,0.5613508,0.6662445,0.9219637,0.54179,0.24750233,0.07526398,0.39345455,-0.020091057,-0.33631706,0.26743126,-0.10430336,-0.48552132,-0.36847496,-0.7612629,-0.37874508,1.2834004,1.2572459,1.3155311,1.3809288,1.3763596,1.3104029,1.4022969,1.4226685,1.4491717,1.3603779,1.4278156,1.398214,1.4432391,1.4580929,1.493809
AP001505.2,,-0.105717726,0.042483926,-0.011670523,-0.05780621,-0.26116064,0.14997718,0.079342656,0.017852727,-0.14254501,-0.06066451,-0.12407097,-0.29798067,-0.052572515,-0.24661724,-0.19453217,-0.114864826,0.026473999,-0.005130291,-0.07225418,-0.28419876,0.16292524,0.095277786,0.025889397,-0.14793587,-0.06318903,-0.13887835,-0.30806732,-0.06025839,-0.25569057,-0.19423103,0.64640045,0.6079949,0.62621295,0.61396396,0.62296116,0.61766356,0.63337886,0.6144603,0.6310085,0.6115375,0.5792739,0.592376,0.5993466,0.5932939,0.5768436
AL033519.3,,-0.82317793,-1.4337085,-2.0919359,-2.2082696,-1.6265011,-0.6331085,-1.3092043,-1.4215088,-0.8191205,-0.6464587,-0.71449643,-0.1753555,-0.08682067,0.47102085,0.58971727,-0.8515396,-1.44349,-2.0946803,-2.2533026,-1.656702,-0.65344906,-1.3314781,-1.4541321,-0.80200005,-0.6610031,-0.7598753,-0.1713419,-0.09887791,0.502964,0.61064816,1.4937398,1.4079356,1.4355919,1.4041245,1.3083286,1.4050008,1.4347886,1.3847572,1.3152777,1.3423294,1.2921712,1.1821986,1.33718,1.2689592,1.193187
LBR,,0.00868786,0.04835184,0.095355056,0.18991339,0.20273478,0.048953883,0.0999795,0.16702321,0.18150653,0.031898607,0.10632137,0.11824078,0.08516493,0.09224325,-0.0031024646,-0.002424717,0.0346241,0.057770252,0.1481781,0.16766071,0.056884766,0.078176975,0.16550446,0.1761303,0.012999058,0.08026409,0.10420179,0.07905197,0.09190035,-0.0072307587,0.6269143,0.57166994,0.65137416,0.6629234,0.6307164,0.58991784,0.65937036,0.67357385,0.65877897,0.6255516,0.6478947,0.6077781,0.7059686,0.68623835,0.70734763
NXPE3,,-0.8996582,-1.4712553,-1.939839,-1.8058963,-1.1243703,-0.58688694,-1.0550405,-0.93896174,-0.26651448,-0.45456696,-0.30175832,0.33857834,0.15791325,0.81334966,0.678713,-0.9142661,-1.4791698,-1.9304495,-1.8176093,-1.136044,-0.5681286,-1.0603757,-0.9416137,-0.28276443,-0.43271208,-0.3163576,0.35103273,0.14721107,0.8190508,0.71225023,1.070292,1.0701705,1.144768,1.1354373,1.0894651,1.0932595,1.1642016,1.1494926,1.1491566,1.1240518,1.1593443,1.0850009,1.1894319,1.1849571,1.154826
AP000240.1,,-0.13683303,0.28780824,0.4366599,0.7892912,1.0453317,0.43262774,0.5196924,0.88365644,1.1477027,0.10978374,0.43953818,0.74300504,0.36068678,0.59217536,0.24093762,-0.15285063,0.26613426,0.38114452,0.763258,1.0432429,0.45827818,0.5150852,0.91116333,1.2031631,0.08824873,0.3988409,0.7506027,0.36416817,0.637373,0.2947483,1.4247797,1.3662438,1.4163414,1.5087693,1.5110875,1.3532176,1.4301454,1.485333,1.5133573,1.3957789,1.4330517,1.4644231,1.5242102,1.50555,1.6200943
TMEM229B,,0.19464128,0.34942868,0.74494827,1.1299711,1.3910866,0.15516551,0.53320247,0.9390863,1.177213,0.38893703,0.79856193,1.067691,0.3995294,0.6669913,0.2679796,0.19733572,0.36623812,0.7229428,1.1329327,1.3800378,0.1533761,0.521193,0.9382434,1.1590233,0.36697578,0.79039574,1.0572438,0.3940606,0.6687751,0.26248503,0.6840042,0.65929204,0.73861504,0.84643376,0.9187273,0.71364975,0.779401,0.8631088,0.9787867,0.753263,0.84688133,0.9523973,0.90915555,1.0088893,1.0840333
AL353796.1,,-0.12567176,0.32229576,0.46743745,0.9805096,2.213375,0.5020174,0.57472855,1.0606236,2.3122916,0.11712398,0.64978385,1.8211031,0.57159746,1.7404258,1.1964039,-0.080607414,0.30331516,0.51201725,1.0499344,2.1672192,0.41269398,0.5862665,1.1029148,2.238492,0.21077538,0.72053146,1.8273296,0.5891266,1.6580601,1.1339388,2.0710728,1.8107957,2.0826836,2.261981,2.191509,1.9594676,2.2421167,2.284006,2.336416,2.0138962,2.1589103,2.1855395,2.3511207,2.3628678,2.4746523
RLN2,,0.11058066,-0.0075463806,0.28304347,0.39498582,0.6470334,-0.12046173,0.19983128,0.3119095,0.5149077,0.29596156,0.41771367,0.64486575,0.1224178,0.36746484,0.23895186,0.08197117,-0.022389889,0.23425865,0.37396908,0.59633017,-0.11319065,0.16742086,0.3140335,0.50299454,0.26496267,0.39553928,0.6214819,0.12687492,0.36050606,0.2144289,0.66701466,0.63860285,0.70172364,0.68744653,0.7169606,0.69490725,0.7494707,0.74424154,0.7663034,0.737663,0.7273657,0.74736726,0.7711434,0.77918977,0.7715113
ERRFI1,,-0.54405147,-0.9057181,-1.3079038,-1.4752458,-1.3895909,-0.3690521,-0.7664002,-0.9532793,-0.8537298,-0.39258832,-0.55664563,-0.4747553,-0.1655876,-0.07839498,0.09671014,-0.5639615,-0.9156337,-1.3032198,-1.4791312,-1.405611,-0.35626268,-0.76412296,-0.96456575,-0.851943,-0.38769102,-0.5599351,-0.4792552,-0.16570807,-0.07638168,0.10406685,0.6080243,0.61603045,0.676529,0.69818634,0.7069724,0.6247299,0.68910384,0.7024778,0.7171211,0.685567,0.73350406,0.70351446,0.7542248,0.77487785,0.7762533
MT-CYB,,-0.07853067,-0.19217736,-0.3517481,-0.43445507,0.08076682,-0.09608263,-0.2585248,-0.34869635,0.17164586,-0.1569986,-0.21442583,0.27029738,-0.06307982,0.45135322,0.5120556,-0.038561344,-0.21247196,-0.36219025,-0.40815973,0.08838749,-0.14747286,-0.2797346,-0.37966728,0.1583128,-0.15090132,-0.1989274,0.30457926,-0.022539616,0.4631667,0.500906,0.97824055,0.8718123,0.94846934,1.0189788,0.9347147,0.9719171,1.0655644,1.0929757,1.0153996,0.9621529,1.0491214,0.93392116,1.092452,1.0134186,1.0570056
HDAC9,,0.4790735,0.91413534,1.6057321,1.7647152,1.7409433,0.44692284,1.1498091,1.299802,1.2171712,0.66974705,0.81840247,0.7719632,0.14848648,0.08933867,-0.04811193,0.39963102,0.9078984,1.5309,1.6636314,1.7152247,0.5087347,1.1097655,1.253212,1.2372189,0.59644127,0.7019844,0.74557734,0.13944626,0.12599564,0.007382393,1.2846768,1.2484293,1.4722505,1.5294359,1.3940098,1.3682638,1.5678349,1.638924,1.5691731,1.5427771,1.6338661,1.5104042,1.7767862,1.6764454,1.7584026
AC083973.1,,0.220805,-0.11680767,0.022190027,-0.2997051,-0.24455908,-0.3356088,-0.1434858,-0.5226866,-0.4297366,0.16996998,-0.10767674,-0.109349914,-0.3047721,-0.23718391,0.09276039,0.25413513,-0.05644703,0.0512619,-0.29807186,-0.20071316,-0.34584904,-0.11932564,-0.56905365,-0.4576187,0.25232887,-0.12275219,-0.11607361,-0.3513012,-0.26134205,0.11535263,1.9598595,1.8649398,2.029401,1.9840473,1.9281307,1.9244633,2.0222921,1.9996725,1.9439489,1.9572415,1.9335642,1.8384559,2.0075295,1.9613496,1.9323269
AC010501.1,,0.3586502,-0.0892107,0.22991985,0.0952992,0.083492085,-0.46360826,-0.049844705,-0.24187744,-0.23365176,0.36963755,0.2650126,0.2132124,-0.12138707,-0.102097735,0.00069117144,0.4004593,-0.044524193,0.29632187,0.08306217,0.07926273,-0.4888401,-0.04947853,-0.30112076,-0.26963902,0.425663,0.24493599,0.20145035,-0.110925674,-0.12662792,0.03042984,2.0860772,2.0232573,2.1914003,2.1666646,2.1144545,2.0108309,2.1878262,2.1477022,2.1217432,2.1570687,2.1180143,2.0381255,2.2551296,2.1735964,2.1619349
PYGO1,,-0.58045006,-0.69804364,-0.97636074,-0.65000373,-0.33458194,-0.14193714,-0.4742438,-0.117809,0.2294323,-0.28773907,0.062477697,0.42488834,0.3505316,0.67866063,0.31951198,-0.5768175,-0.703568,-0.99982166,-0.6644144,-0.31403923,-0.13854122,-0.5270047,-0.11718607,0.22755003,-0.3235407,0.035760403,0.4250059,0.3522253,0.7204795,0.31934214,1.0954194,1.0841229,1.0594727,1.101904,1.1094365,1.1168302,1.1124657,1.1281602,1.1561743,1.0539153,1.0807427,1.1105431,1.0607475,1.1039233,1.1139718
AC209007.1,,0.354743,0.28964186,0.54163057,0.64142317,1.0731156,-0.074446835,0.18001032,0.33812338,0.678785,0.22712515,0.35652167,0.76616555,0.13745016,0.5029842,0.4124605,0.29777908,0.24462414,0.4495716,0.5377226,0.99663925,-0.07685852,0.13495827,0.29820633,0.64057255,0.15804577,0.3221693,0.70028687,0.10117531,0.49946308,0.40857887,1.545963,1.3620261,1.5954292,1.6521885,1.6226242,1.5749807,1.7653736,1.7650037,1.7977722,1.6213136,1.7171851,1.6932718,1.8660555,1.8288908,1.9006033
AC107918.4,,0.14988953,-0.2722596,-0.19626328,-0.34390724,-0.054017097,-0.426441,-0.2957443,-0.4858103,-0.24473932,0.060253374,-0.057918068,0.10445517,-0.13763462,0.09662016,0.21905628,0.15039158,-0.25041866,-0.24275589,-0.48340034,-0.12666893,-0.42362356,-0.3471551,-0.5828581,-0.31586075,0.02974224,-0.19817066,0.051135063,-0.18858147,0.07764053,0.26524115,1.8853536,1.8169808,1.9460769,2.09038,2.0060523,1.8591604,1.974907,2.1207986,2.0320508,1.955117,2.0811586,1.9476635,2.188545,2.1301877,2.2404249
CPNE8,,0.5393264,1.0890065,1.5829246,2.0255,2.4273837,0.5712048,0.9907658,1.4787189,1.8677554,0.45385128,0.9315371,1.3317748,0.4883038,0.8484709,0.41113243,0.55111885,1.0766563,1.5770016,2.0428324,2.454424,0.547843,0.9531288,1.4747715,1.87076,0.45829964,0.95459175,1.3525848,0.5209999,0.8943634,0.40054035,1.770304,1.5081998,1.6678789,1.7310933,1.8285918,1.7286297,1.8175864,1.8970168,2.0176618,1.6465468,1.6999106,1.8732878,1.8700535,2.0111125,2.115075
RBP2,,-1.114453,-2.250172,-3.2335696,-4.173334,-4.652107,-1.1940993,-2.0978577,-3.0837202,-3.518698,-0.9360711,-1.8566864,-2.3691585,-0.97821945,-1.425863,-0.43871132,-1.063601,-2.2444696,-3.23977,-4.2886915,-4.786337,-1.2510233,-2.165132,-3.2679524,-3.6448336,-0.97234297,-1.9956818,-2.4912767,-1.0134354,-1.48452,-0.4641142,1.5163801,1.4981233,1.5299307,1.5340492,1.6117738,1.5548806,1.5663619,1.5986977,1.6549119,1.5873377,1.6064643,1.6089928,1.6390823,1.6723481,1.7414743
LIMA1,,-0.039198846,-0.02068816,-0.012541022,-0.04523477,-0.09065477,0.015860641,0.019263474,-0.00436887,-0.054647375,0.0059340806,-0.027898248,-0.04822874,-0.036296256,-0.074364476,-0.028581748,-0.031514645,-0.016123295,-0.01574707,-0.022856712,-0.07939482,0.01558876,0.024506569,-0.0041208267,-0.044216633,0.00039196014,-0.019870758,-0.04514599,-0.030003548,-0.06145048,-0.031782627,0.46892735,0.43859333,0.46171016,0.47886756,0.45822802,0.4532757,0.48144862,0.4912116,0.4770483,0.45562467,0.46446127,0.45872393,0.48972335,0.48226157,0.49721158
TCTE3,,-0.19431667,-0.39728397,-0.5510424,-0.6243237,-0.4397404,-0.20232916,-0.35045743,-0.44521156,-0.24881077,-0.14881295,-0.21863806,-0.037226923,-0.058645874,0.11688263,0.18618725,-0.1901989,-0.4057045,-0.5629325,-0.6351881,-0.43657684,-0.20032644,-0.36492252,-0.4532404,-0.24465322,-0.16360426,-0.24172783,-0.047825813,-0.058050632,0.11208868,0.1775608,0.71035063,0.6669664,0.73537403,0.69749403,0.70535296,0.7017573,0.7441151,0.7078205,0.7065836,0.71158624,0.6826721,0.65644777,0.7233092,0.727468,0.6831988
GCC2,,-0.28130218,-0.3277509,-0.45224136,-0.5078944,-0.6141621,-0.053545386,-0.19142482,-0.26724076,-0.35941267,-0.13731359,-0.19445713,-0.27702072,-0.06262773,-0.16059689,-0.08257848,-0.29743576,-0.28880262,-0.4545827,-0.50396204,-0.5999923,-0.008437157,-0.17522526,-0.24969721,-0.31240797,-0.16649675,-0.23661423,-0.31686783,-0.041456223,-0.13959742,-0.08695078,1.0434831,0.93993855,0.9935889,1.0001314,0.9993778,0.9382027,1.0093063,0.9799028,1.0080278,0.90411335,0.9039052,0.8755499,0.9243824,0.9438889,0.9216397
AC091925.1,,-0.31765702,-0.5227146,-0.3674422,-0.40614188,-0.47405195,-0.2639563,-0.10722464,-0.10463279,-0.21761893,0.15989046,0.15978697,0.12353336,-0.03991687,-0.09005202,-0.026003964,-0.325099,-0.50462437,-0.35360146,-0.4287405,-0.51119804,-0.27089787,-0.09479523,-0.113119125,-0.18735695,0.13407707,0.11979866,0.07668114,-0.07852554,-0.067567825,-0.011317253,1.5399987,1.4350682,1.5195435,1.5951132,1.472919,1.5805423,1.6689659,1.6690017,1.6549892,1.5189631,1.5917548,1.5298922,1.668196,1.5871363,1.6297295
AC105285.1,,-0.036756817,0.006663166,0.07822116,0.25103235,0.5775611,0.04643998,0.11510812,0.2990161,0.5809904,0.06582586,0.22793779,0.551555,0.18904981,0.47796875,0.2953738,-0.054003716,0.01696682,0.07728052,0.26646996,0.57797146,0.054051876,0.11438227,0.30615187,0.5844617,0.055759907,0.23076248,0.5402055,0.20576859,0.47402,0.2935791,0.6240155,0.63170546,0.61671543,0.6393642,0.6170683,0.67531645,0.6642701,0.6724442,0.6515268,0.6426916,0.6650115,0.64446133,0.6676273,0.64510643,0.6746208
PYCARD,,0.4001701,0.3195456,0.7637551,0.84485096,1.0112631,-0.08447787,0.4035787,0.48295045,0.61214656,0.45807,0.55631363,0.6943909,0.08748257,0.26342764,0.16149808,0.40519285,0.33714962,0.7287955,0.83386946,0.97147703,-0.09092045,0.38546085,0.4784317,0.5904107,0.42770052,0.5492606,0.6669903,0.097770214,0.26310778,0.15703964,1.0812553,1.0563259,1.1082466,1.1328282,1.1976001,1.0808846,1.1437452,1.1560688,1.2080055,1.1242622,1.1406876,1.1710244,1.1703495,1.2137556,1.2152866
AC004241.4,,0.8881588,1.6509337,1.6878834,2.0699084,2.738038,0.81348807,0.7234326,1.2416561,1.7838774,-0.11188402,0.25912,0.9230116,0.44647378,0.92319435,0.5388738,0.6586275,1.5407248,1.5039959,1.789134,2.5336456,0.92483425,0.8140278,1.1926575,1.8065615,-0.15421867,0.17774487,0.8604288,0.42343712,0.8681612,0.58703995,3.766701,3.3656144,3.6781104,3.894127,3.7665112,3.8642814,4.123913,4.2798533,4.191068,3.810461,4.12488,3.9235616,4.391647,4.137215,4.448199
